model_name,condition,column,manual,recomputed,abs_diff
CP_REPO_OPS_C,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,entry_with_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_HG,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,entry_with_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,entry_without_recent_spike,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,high_within_block_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,inflection_points,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,older_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,recent_spike_position,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,same_average_back_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,same_average_different_path,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_OPS_K,stable_low_dispersion,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,all_observations,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,cluster_entry_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,cluster_entry_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,cluster_exit_loose,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,cluster_exit_strict,n_assets,1.0,10.0,9.0
CP_REPO_OPS_R,entry_with_recent_spike,n_assets,1.0,10.0,9.0
