asset,model_name,model_family,selected_lambda_shape,selected_lambda_r_ratio,intercept_unpenalized_by_code,cp_rv_penalized_count,extra_feature_count,extra_penalized_count,ridge_penalized_count,cp_unpenalized_pass,all_extra_penalized_when_ridge_model,hg_lambda_c_unique,hg_lambda_r_unique
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
AMZN,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
AMZN,RIDGE_AR22,ridge_ar,0.001,2.0,True,0,22,22,22,True,True,[],[]
AMZN,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
EEM,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
EEM,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
EEM,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
EEM,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
EEM,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
EEM,CP_REPO_RIDGE_OPS_R,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
EEM,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
EEM,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
EEM,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
EEM,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
EEM,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
EEM,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.0001,2.0,True,0,24,24,24,True,True,[0.0001],[]
EEM,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.0001,2.0,True,0,34,34,34,True,True,[0.0001],[0.0002]
EEM,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
EEM,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
EEM,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
EEM,RIDGE_AR22,ridge_ar,0.01,2.0,True,0,22,22,22,True,True,[],[]
EEM,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
FXI,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
FXI,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
FXI,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
FXI,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
FXI,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
FXI,CP_REPO_RIDGE_OPS_R,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
FXI,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
FXI,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
FXI,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
FXI,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
FXI,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
FXI,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
FXI,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,20.0,True,0,34,34,34,True,True,[0.01],[0.2]
FXI,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
FXI,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
FXI,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
FXI,RIDGE_AR22,ridge_ar,0.01,2.0,True,0,22,22,22,True,True,[],[]
FXI,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
GLD,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
GLD,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
GLD,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
GLD,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
GLD,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
GLD,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
GLD,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
GLD,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
GLD,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
GLD,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
GLD,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
GLD,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
GLD,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,20.0,True,0,34,34,34,True,True,[0.01],[0.2]
GLD,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
GLD,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
GLD,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
GLD,RIDGE_AR22,ridge_ar,0.001,2.0,True,0,22,22,22,True,True,[],[]
GLD,CP_REPO_OPS_K,ridge_shape,0.01,2.0,True,0,8,8,8,True,True,[],[]
GOOGL,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
GOOGL,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
GOOGL,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
GOOGL,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
GOOGL,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
GOOGL,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
GOOGL,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
GOOGL,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
GOOGL,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
GOOGL,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
GOOGL,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
GOOGL,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
GOOGL,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,20.0,True,0,34,34,34,True,True,[0.01],[0.2]
GOOGL,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.0001,2.0,True,0,10,10,10,True,True,[],[]
GOOGL,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
GOOGL,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
GOOGL,RIDGE_AR22,ridge_ar,0.01,2.0,True,0,22,22,22,True,True,[],[]
GOOGL,CP_REPO_OPS_K,ridge_shape,0.0001,2.0,True,0,8,8,8,True,True,[],[]
HYG,CP_REPO_FRESH,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
HYG,HAR_RV,linear,0.0,0.0,True,0,0,0,0,True,True,[],[]
HYG,RAW_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
HYG,RAW_CP_REPO_PLUS_PM,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
HYG,CP_REPO_OPS_R,linear,0.0,0.0,True,0,10,0,0,True,True,[],[]
HYG,CP_REPO_RIDGE_OPS_R,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
HYG,CP_REPO_LRPM,linear,0.0,0.0,True,0,25,0,0,True,True,[],[]
HYG,CP_REPO_RECENT_SLOPE,linear,0.0,0.0,True,0,5,0,0,True,True,[],[]
HYG,CP_REPO_HAAR_SHAPE,linear,0.0,0.0,True,0,18,0,0,True,True,[],[]
HYG,CP_REPO_OPS_C,linear,0.0,0.0,True,0,24,0,0,True,True,[],[]
HYG,CP_REPO_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
HYG,CP_REPO_GATED_RIDGE_OPS_C,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[0.01],[]
HYG,CP_REPO_OPS_HG,hierarchical_gated_ridge,0.01,2.0,True,0,34,34,34,True,True,[0.01],[0.02]
HYG,RANDOM_RESIDUES_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
HYG,SHUFFLED_LAG_PM_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,10,10,10,True,True,[],[]
HYG,RANDOM_GATE_PLACEBO_REPO,ridge_shape,0.01,2.0,True,0,24,24,24,True,True,[],[]
