model_name,condition,loss_variant,loss_metric,n_obs_total,n_assets,pooled_cp_loss,pooled_model_loss,pooled_advantage_cp_minus_model,assets_positive
HAR_RV,cluster_entry_loose,standard,log_RV_MAE,73457,10,3.804190144501006,3.7878270988386666,0.016363045662339443,9
HAR_RV,cluster_entry_loose,standard,log_RV_MSE,73457,10,62.079879726914335,61.90129508558595,0.17858464132839336,9
HAR_RV,cluster_entry_loose,standard,winsorized_SMAPE_1_99,73457,10,93.56917055787953,92.96758518198219,0.6015853758973495,9
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,SMAPE,61461,10,72.99789797170354,72.29162840192956,0.7062695697739846,9
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,MAE,61461,10,0.0007865964891234015,0.0007717848552005304,1.4811633922871162e-05,9
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,MSE,61461,10,2.8317450639894594e-06,2.9024762117020073e-06,-7.073114771254825e-08,1
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,RMSE,61461,10,0.0015742075191736212,0.0015926664868573194,-1.8458967683698487e-05,1
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,QLIKE,61461,10,210144.59489315952,0.5749436255985632,210144.01994953392,8
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,61461,10,0.8662174520726127,0.846893814974653,0.01932363709795968,9
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,61461,10,1.3601494572286972,1.1965010516922727,0.16364840553642462,10
HAR_RV,cluster_entry_loose,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,61461,10,72.93293539887844,72.22378996644633,0.7091454324321009,9
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,SMAPE,22973,10,69.00735262283271,74.74854560048077,-5.7411929776480575,0
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,MAE,22973,10,0.0012877885229073671,0.001352784304067036,-6.49957811596688e-05,0
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,MSE,22973,10,6.7247425578925214e-06,7.050326325256953e-06,-3.255837673644311e-07,0
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,RMSE,22973,10,0.0023906769741809286,0.002446267450620569,-5.559047643964015e-05,0
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,QLIKE,22973,10,268014.68012032646,0.8950003048177633,268013.78512002167,3
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,log_RV_MAE,22973,10,0.7732837175225007,0.8367340108634532,-0.06345029334095251,0
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,log_RV_MSE,22973,10,0.9451687695589691,0.9665219738515116,-0.021353204292542702,2
HAR_RV,cluster_entry_loose,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,22973,10,68.91269580989183,74.66555719327204,-5.7528613833802,0
HAR_RV,recent_spike_position,standard,SMAPE,125358,10,111.5312633098087,111.99805864962404,-0.4667953398153673,4
HAR_RV,recent_spike_position,standard,MAE,125358,10,0.000609182778318038,0.0006188285133109556,-9.645734992917357e-06,1
HAR_RV,recent_spike_position,standard,MSE,125358,10,2.1057111018023655e-06,2.13737444980687e-06,-3.166334800450492e-08,2
HAR_RV,recent_spike_position,standard,RMSE,125358,10,0.0013297050754869251,0.001338839647110256,-9.13457162333133e-06,2
HAR_RV,recent_spike_position,standard,QLIKE,125358,10,249149.85066705736,5.876470993970891,249143.97419606335,9
HAR_RV,recent_spike_position,standard,log_RV_MAE,125358,10,6.256003684262452,6.320794565809323,-0.06479088154687034,1
HAR_RV,recent_spike_position,standard,log_RV_MSE,125358,10,109.41387326094501,111.63561981775968,-2.221746556814669,1
HAR_RV,recent_spike_position,standard,winsorized_SMAPE_1_99,125358,10,111.54553490151334,112.01148838614847,-0.46595348463509956,4
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,SMAPE,87314,10,73.36349002624341,73.99607456467433,-0.6325845384309099,4
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,MAE,87314,10,0.0007165853575134939,0.0007172633382186393,-6.779807051454437e-07,5
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,MSE,87314,10,2.9116482639914055e-06,2.9560876266954113e-06,-4.443936270400539e-08,4
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,RMSE,87314,10,0.001605595117744592,0.001616887168422222,-1.1292050677629861e-05,4
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,QLIKE,87314,10,357700.4542242482,0.6742195649383057,357699.78000468324,10
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,87314,10,0.8796930028966632,0.8773352112374484,0.0023577916592148526,4
HAR_RV,recent_spike_position,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,87314,10,1.46266464228245,1.3009511889397796,0.16171345334267048,10
