asset,model_name,strategy,coverage,n_active,mean_advantage_active_rows,mean_advantage_overall,win_rate_overall,false_positive_loss_mean_active_negative_advantage_abs,false_negative_cost_mean_inactive_positive_advantage
AMZN,CP_REPO_OPS_HG,top_10pct_gate,0.10000272190315469,3674,1.296890720440549,0.12969260205499816,0.05013745610931163,8.98374941786301,6.696985516173918
AMZN,CP_REPO_OPS_HG,top_20pct_gate,0.20000544380630939,7348,0.3988215209590749,0.07976647529892708,0.09390565883665859,9.370383165540302,6.261427056094015
AMZN,CP_REPO_OPS_HG,top_30pct_gate,0.30000816570946404,11022,0.2230532823908282,0.06691780610554746,0.13816380413184898,9.281460928979785,5.747772007059537
AMZN,CP_REPO_OPS_HG,condition_entry_with_recent_spike,0.12009036718473556,4412,1.2084250862570673,0.14512021232385697,0.061896077737554095,8.75303156711529,6.698386825880909
AMZN,CP_REPO_OPS_HG,condition_cluster_entry_loose,0.19989656768012193,7344,0.8548014664547022,0.17087187919222988,0.09959443642995182,9.840729600376356,6.1606782575012735
EEM,RAW_PM,top_5pct_gate,0.050001360951577346,1837,-0.5984503492531924,-0.0299233319246064,0.011486431312773892,9.067002893492653,8.133665877312389
EEM,RAW_PM,top_10pct_gate,0.10000272190315469,3674,-0.5286093132327416,-0.05286237014663145,0.021802444269032908,8.321041339797913,8.257259936049838
EEM,RAW_PM,top_20pct_gate,0.20000544380630939,7348,-0.7085096503175282,-0.1417057870528103,0.0566972427121043,8.96053451453042,8.295563558222604
EEM,RAW_PM,top_30pct_gate,0.30000816570946404,11022,-0.5874132459270375,-0.17622877042401283,0.09619205748659462,8.79580684180957,8.37827892074982
EEM,RAW_PM,condition_entry_with_recent_spike,0.11837556819728354,4349,-1.3431380831572297,-0.15899473376114734,0.03786167288167887,13.518302333880872,7.576760186642092
EEM,RAW_PM,condition_cluster_entry_loose,0.19995100574321564,7346,-0.9153258250596592,-0.18302031930341753,0.06543455183864558,11.86518591948804,7.394796180203301
EEM,RAW_CP_REPO_PLUS_PM,top_5pct_gate,0.050001360951577346,1837,-0.8126481306945592,-0.04063351250948326,0.010098260703884155,6.295388800846805,3.4586151599846673
EEM,RAW_CP_REPO_PLUS_PM,top_10pct_gate,0.10000272190315469,3674,-0.5215337407729078,-0.05215479364162507,0.018699474672691146,4.341860319711568,3.527477136721082
EEM,RAW_CP_REPO_PLUS_PM,top_20pct_gate,0.20000544380630939,7348,-0.49806833045163107,-0.09961637747784605,0.04986526579384305,3.8340007097399162,3.5845373378885506
EEM,RAW_CP_REPO_PLUS_PM,top_30pct_gate,0.30000816570946404,11022,-0.41895090075742814,-0.12568869125856372,0.08740031029695963,3.748454656529029,3.6472147710348692
