model_name,condition,n_obs_total,n_assets,corr_cp_residual_delta_equal_weight,mean_delta_pooled,std_delta_equal_weight,mean_2e_delta_pooled,mean_delta_squared_pooled,ratio_2Eedelta_over_Edelta2_pooled,actual_smape_advantage_pooled,win_rate_vs_cp_pooled,assets_positive_smape_advantage
CP_REPO_LRPM,high_within_block_dispersion,68967,10,0.0049270384775482005,2795260.878323045,299633837.6945172,-635.320956718295,7.365811798654707e+17,-8.625267303657284e-16,-11.20884482172711,0.3138167529398118,0
CP_REPO_LRPM,recent_spike_position,125350,10,0.0009692414376096771,53844510.70799992,6500070986.2004795,-91397.76532488062,3.360365304355571e+20,-2.719875877971198e-16,-10.770435046083294,0.3299800558436378,0
CP_REPO_LRPM,older_spike_position,108865,10,0.006357918616832776,-999583.6518113586,106197798.66627203,1141.0649548103122,1.1440728559137104e+17,9.973708832546368e-15,-12.438472675852553,0.34597896477288387,0
CP_REPO_LRPM,same_average_different_path,7396,10,0.013284537091080285,-3296.2942940851926,137580.1843135863,3.9197281970836793,80361648774.13673,4.877610473250007e-11,-10.17251174630211,0.31733369388858845,0
CP_REPO_LRPM,recent_ramp_high_dispersion,24273,10,0.0014216842393419728,8605147.454148449,429827309.2168461,-8264.095894263299,1.9537414405653266e+18,-4.2298820727639545e-15,-12.813399818521816,0.3288839451242121,0
CP_REPO_LRPM,entry_with_recent_spike,43746,10,-0.0035716008691509815,148307608.6428588,10169773273.516308,-253917.1234689288,9.602497387498841e+20,-2.644282140597036e-16,-13.790438476367093,0.37196543683993966,0
CP_REPO_LRPM,entry_without_recent_spike,29710,10,0.0005730972230748233,-380987.7907695725,23145927.48369397,-282.97295185517754,3641175320134526.0,-7.771472861809986e-14,-15.035977003617463,0.3500841467519354,0
CP_REPO_LRPM,same_average_recent_front_loaded,14331,10,-0.006349466398050128,-718702.6616183601,26687566.09953331,-733.4846971971405,7431755631616824.0,-9.869601929276117e-14,-12.789783238288619,0.3575465773498011,0
CP_REPO_LRPM,same_average_back_loaded,15556,10,-0.001308693994500363,-1567.2159839836925,69317.12533499983,1.8636306785251433,38207428281.98787,4.8776658422825986e-11,-9.694823465247753,0.31376960658266906,0
CP_REPO_LRPM,stable_low_dispersion,68968,10,0.001826739502278885,4702708.18783209,403471091.9514419,-5765.70918856059,1.628855530758186e+18,-3.5397302459824758e-15,-14.19213051831189,0.37678343579631135,0
CP_REPO_RECENT_SLOPE,all_rows,367468,10,0.049653558648935156,1.125675414950938e-08,6.519582984386444e-05,9.731067056524627e-09,4.7856259072377945e-09,2.033394846389337,-0.2128292586147126,0.41331490088932915,4
CP_REPO_RECENT_SLOPE,all_observations,367248,10,0.049829168444735186,2.0897120564835246e-08,6.510973312872387e-05,9.758262811397224e-09,4.773974190117148e-09,2.0440543712193313,-0.2097970725498508,0.41340456585195834,4
CP_REPO_RECENT_SLOPE,cluster_entry_loose,73457,10,0.0881849908373473,-1.141186158150977e-05,9.108440839952662e-05,2.638617373718654e-08,1.0164204231264356e-08,2.5959901175563336,0.25266049788604905,0.4600922988959527,7
CP_REPO_RECENT_SLOPE,cluster_entry_strict,73266,10,0.08818996417847871,-1.138845204266687e-05,9.117399637133412e-05,2.6433197904525807e-08,1.0182497059816166e-08,2.5959445653896442,0.2542730682226999,0.4600769797723364,7
CP_REPO_RECENT_SLOPE,cluster_exit_loose,73455,10,0.02042819701699808,2.6721431924817307e-05,6.661057503416624e-05,7.130686622697962e-09,6.01986976871325e-09,1.184525063940403,-0.7110504142531575,0.3686066299094684,1
CP_REPO_RECENT_SLOPE,cluster_exit_strict,73334,10,0.0204792133137189,2.6783048012553095e-05,6.661901698998333e-05,7.1452214502850455e-09,6.02456321835505e-09,1.1860148514195492,-0.7108902390201928,0.3687375569313006,1
CP_REPO_RECENT_SLOPE,inflection_points,144886,10,0.05133375236936,6.903885048378291e-06,7.550787094239936e-05,1.3648274457992467e-08,6.7183431357136614e-09,2.0314941023837223,-0.27027120066363225,0.4308835912372486,1
