asset,model_name,condition,loss_variant,loss_metric,n_obs,cp_loss,model_loss,advantage_cp_minus_model
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,10262,74.20039398862289,74.30774957319609,-0.10735558457319883
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,SMAPE,2075,74.9572718641308,75.57367072870025,-0.6163988645694474
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,MAE,2075,0.002010843403261006,0.0020147919427103453,-3.948539449339077e-06
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,MSE,2075,1.7482649443374753e-05,1.7468575030508547e-05,1.4074412866205892e-08
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,RMSE,2075,0.004181225830229067,0.004179542442721278,1.6833875077894647e-06
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,QLIKE,2075,757919.6165856081,2858840.2454072353,-2100920.6288216272
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,log_RV_MAE,2075,0.8702504599957904,0.8959393559911911,-0.025688895995400696
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,log_RV_MSE,2075,1.3311525477979596,1.7831173548216288,-0.45196480702366926
AAPL,CP_REPO_GATED_RIDGE_OPS_C,older_spike_position,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,2075,74.91196187886763,75.51246729642442,-0.6005054175567892
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,SMAPE,7342,103.16873444051458,102.78442629772454,0.3843081427900472
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,MAE,7342,0.0007442618743107278,0.0007281952962053339,1.6066578105393978e-05
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,MSE,7342,1.6280414221108625e-06,1.5910489610275416e-06,3.699246108332083e-08
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,RMSE,7342,0.0012759472646276815,0.0012613678928161845,1.457937181149698e-05
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,QLIKE,7342,519380.280501975,1348643.2400008591,-829262.9594988842
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,log_RV_MAE,7342,4.375191714780304,4.373302749657721,0.0018889651225837412
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,log_RV_MSE,7342,73.09276874816733,73.02286563968042,0.06990310848691195
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,standard,winsorized_SMAPE_1_99,7342,103.17584905134467,102.79260892132271,0.3832401300219601
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,SMAPE,6002,81.76810477492357,81.30614617464157,0.46195860028200286
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,MAE,6002,0.0007527059666601088,0.0007395254965096684,1.3180470150440395e-05
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,MSE,6002,1.8471171818074795e-06,1.8130083647039954e-06,3.4108817103484056e-08
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,RMSE,6002,0.0013590868926626727,0.0013464799904580815,1.2606902204591276e-05
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,QLIKE,6002,635332.4451893988,1649735.7662857976,-1014403.3210963988
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,6002,1.0167835301150903,1.0287548408550344,-0.011971310739944174
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,6002,2.095339372900521,2.505680815884377,-0.41034144298385566
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,6002,81.7220898983924,81.25437421067889,0.4677156877135076
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,SMAPE,1029,76.67982721732082,77.85078091213458,-1.170953694813761
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,MAE,1029,0.0018699272194310783,0.0018734630698025957,-3.535850371517383e-06
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,MSE,1029,7.888818021154559e-06,7.863366148488683e-06,2.545187266587623e-08
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,RMSE,1029,0.0028087039753513644,0.0028041694222155486,4.534553135815845e-06
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,QLIKE,1029,1528359.1340828824,6105596.0497427145,-4577236.915659832
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,log_RV_MAE,1029,0.8811010090750221,0.9203424707580665,-0.03924146168304443
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,log_RV_MSE,1029,1.457512362172401,1.9990750579099525,-0.5415626957375514
AAPL,CP_REPO_GATED_RIDGE_OPS_C,high_within_block_dispersion,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,1029,76.59846101921062,77.75080103595194,-1.15234001674132
AAPL,CP_REPO_OPS_HG,all_rows,standard,SMAPE,36739,87.85136577294423,87.71118526831113,0.14018050463310772
AAPL,CP_REPO_OPS_HG,all_rows,standard,MAE,36739,0.0007906026158025994,0.0007851690040368684,5.433611765730956e-06
AAPL,CP_REPO_OPS_HG,all_rows,standard,MSE,36739,3.3655442862066135e-06,3.3377665214423143e-06,2.7777764764299206e-08
AAPL,CP_REPO_OPS_HG,all_rows,standard,RMSE,36739,0.0018345419826775874,0.0018269555335153384,7.586449162249025e-06
AAPL,CP_REPO_OPS_HG,all_rows,standard,QLIKE,36739,233527.97544587782,1515253.1870949245,-1281725.2116490467
AAPL,CP_REPO_OPS_HG,all_rows,standard,log_RV_MAE,36739,2.6451237043202234,2.659270129250394,-0.01414642493017082
AAPL,CP_REPO_OPS_HG,all_rows,standard,log_RV_MSE,36739,37.72938282307022,38.00502388345913,-0.2756410603889137
AAPL,CP_REPO_OPS_HG,all_rows,standard,winsorized_SMAPE_1_99,36739,87.85777431298169,87.71840810738635,0.13936620559533708
AAPL,CP_REPO_OPS_HG,all_rows,excluding_near_zero_actual_bottom_asset_decile,SMAPE,33065,75.5811189525204,75.4283958852335,0.15272306728689955
