model_name,family,tau,kappa,gamma,intercept,alpha,clip,tail_rule,selection_score,pooled_min_normalized_gain,worst_fold_metric_normalized_gain,positive_fold_metric_count,fold_metric_count,pooled_smape_gain,pooled_mae_gain,pooled_mse_gain,pooled_smape_normalized_gain,pooled_mae_normalized_gain,pooled_mse_normalized_gain
PM_CAST_D,pm,0.1,0.12,-1.0,0.05,0.75,0.1,none,0.0025368256628688817,0.0028371142310613683,-0.002989852835788237,11,12,0.28209652408452257,1.3990473270970448e-05,9.707253477874218e-09,0.0028371142310613683,0.024827055098313573,0.00894257706813178
PM_CAST_D,pm,0.1,0.12,-1.0,0.0,0.5,0.1,none,0.002515314475194593,0.0029350235817526735,-0.005290553094360585,11,12,0.29183172868185636,1.5325766432696232e-05,9.675750276735835e-09,0.0029350235817526735,0.02719662446573125,0.008913555491151743
PM_CAST_D,pm,0.5,0.12,-1.0,-0.02,0.35,0.1,none,0.002515305550811881,0.002998516044885415,-0.005634602771991208,11,12,0.29814483478072873,1.5702617972752214e-05,9.78295003317159e-09,0.002998516044885415,0.027865373389920088,0.009012310724627076
PM_CAST_D,pm,0.5,0.07,-1.0,0.02,0.5,0.1,none,0.0025089361433349487,0.002910345885539262,-0.004877385195845054,11,12,0.28937800572350625,1.4882260822852381e-05,9.528488954185448e-09,0.002910345885539262,0.026409593319697642,0.00877789448991556
PM_CAST_D,pm,0.1,0.12,-1.0,0.0,0.75,0.1,none,0.0024998358389068517,0.002977946502969442,-0.0056813142564635325,11,12,0.29609958887100163,1.573977777382491e-05,9.695189733097387e-09,0.002977946502969442,0.02793131600750033,0.008931463629336452
PM_CAST_D,pm,0.1,0.12,-1.0,0.02,0.5,0.1,none,0.002496440505811455,0.00281608186504652,-0.0039535866178312395,11,12,0.2800052592066038,1.4361721662827756e-05,9.736661677896764e-09,0.00281608186504652,0.02548586085143463,0.008969668675014825
PM_CAST_D,pm,0.1,0.12,-1.0,-0.02,0.5,0.1,none,0.0024887868359519684,0.003023184180033775,-0.00660059597068546,11,12,0.3005976070747778,1.6140116255108504e-05,9.550862276376825e-09,0.003023184180033775,0.028641744120995703,0.008798505382422134
PM_CAST_D,pm,1.0,0.07,-1.0,-0.02,0.35,0.1,none,0.0024876800759520835,0.003052820699260174,-0.00684801753498047,11,12,0.30354438974859477,1.5887453068698463e-05,8.73742351390371e-09,0.003052820699260174,0.028193375954399545,0.008049144212426751
PM_CAST_D,pm,0.1,0.07,-1.0,0.02,0.75,0.1,none,0.002487226605956878,0.00308315190692863,-0.00626656267479116,10,12,0.3065602458466259,1.6045683278176023e-05,9.506276677020704e-09,0.00308315190692863,0.028474166321732455,0.008757431956320741
PM_CAST_D,pm,1.0,0.12,-1.0,0.05,0.75,0.1,none,0.0024764771370705757,0.002840196583234436,-0.0013863822742221676,11,12,0.2824030048121955,1.309301543287063e-05,9.014875743623249e-09,0.002840196583234436,0.023234454564838407,0.008304740499537956
PM_CAST_D,pm,0.1,0.07,-1.0,-0.02,0.5,0.1,none,0.0024603958589651466,0.0031740742063586657,-0.007952004354772616,9,12,0.315600722380907,1.683911702833813e-05,9.054678375861309e-09,0.0031740742063586657,0.02988216897115032,0.008341407730605389
PM_CAST_D,pm,0.1,0.12,-1.0,-0.02,0.35,0.1,none,0.002459121503821636,0.0029799764058705924,-0.006498410277231425,11,12,0.2963014237306538,1.58605106084001e-05,9.352352266631383e-09,0.0029799764058705924,0.02814556470932183,0.008615632743421782
PM_CAST_D,pm,0.1,0.07,-1.0,0.0,0.5,0.1,none,0.0024581207004503326,0.003045631525682002,-0.006632243221050679,10,12,0.3028295645028436,1.6063178290827386e-05,9.12138670822978e-09,0.003045631525682002,0.02850521242250607,0.008402861199874663
PM_CAST_D,pm,0.5,0.07,-1.0,-0.02,0.35,0.1,none,0.0024519882333962576,0.003059543885176109,-0.007176245957713867,10,12,0.3042128814705336,1.6228293543263557e-05,9.01996637130668e-09,0.003059543885176109,0.028798220771145043,0.008309430119571882
PM_CAST_D,pm,0.1,0.07,-1.0,0.05,0.75,0.1,none,0.0024508195531851456,0.00288471100560954,-0.004808052073933016,11,12,0.28682910922708515,1.4929826514180236e-05,9.153785620034488e-09,0.00288471100560954,0.026494001903775804,0.008432707929065118
PM_CAST_D,pm,0.5,0.12,-1.0,0.0,0.35,0.1,none,0.0024464168470618173,0.002800864066953111,-0.004177726590484191,11,12,0.27849214144089274,1.4428501867708122e-05,9.778003397766494e-09,0.002800864066953111,0.025604366908658704,0.009007753754064924
