asset,origin,Date,Actual,Predicted_CP_REPO_FRESH,Predicted_FULL_SMAPE_ACTION,Predicted_FULL_MEAN_ACTION,Predicted_FULL_MEDIAN_ACTION,Predicted_NO_Q_SMAPE_ACTION,selected_bandwidth,full_effective_neighbors,no_q_effective_neighbors,mean_quotient_distance_share
GOOGL,13874,2024-04-22 15:20:00,0.0015231308137855371,0.0011471055732874,0.0008963102497248985,0.0011756431850237924,0.0007506995507124376,0.0008891712240329146,2.0,629.3231948994419,645.4587804586631,0.01971311246952256
GOOGL,14412,2024-05-01 14:40:00,0.0007260846207538789,0.0010362894866508,0.0007832339472516067,0.0012249530808258178,0.0006022709338342436,0.0007790184761665496,2.0,1286.4544740861459,1333.4860697022411,0.047421121368855144
GOOGL,14590,2024-05-06 10:00:00,0.0005384224353098869,0.0013654857178614,0.0009087959080534146,0.0012699793440166581,0.0007862348828012537,0.0009087959080534146,2.0,472.49325595087373,478.12285741818675,0.02668963404578966
GOOGL,14846,2024-05-09 11:50:00,0.0007687077219734444,0.0006983643243257,0.0006504488326115904,0.0010146116942069728,0.00041534399980004265,0.000647878221560643,2.0,1120.3544222535108,1101.4803229002887,0.1294054747004919
GOOGL,15011,2024-05-13 12:35:00,0.0022449422406502187,0.0009872593308101,0.0006541506087912846,0.0010781561760376647,0.0004744677154428038,0.0006488450785643233,2.0,1150.7426046761645,1150.171853968841,0.13210526207449239
GOOGL,15209,2024-05-16 09:35:00,0.0,0.0008185719398579,0.0006487508829960908,0.001080923461905862,0.0004655535477088318,0.0006485505123883831,2.0,1191.010331433106,1213.1952783414663,0.14759031626446137
GOOGL,16531,2024-06-10 15:45:00,0.0012971478981803125,0.0010436459189959,0.0006501259812605989,0.0010244138225276905,0.0004744677154428038,0.0006487508829960908,2.0,1372.3677039947602,1417.4832736239102,0.10886481110025839
GOOGL,17328,2024-06-26 10:40:00,0.0014135814891240658,0.0005115856483981,0.0006219081472531457,0.0008435252663997375,0.00035514138551680203,0.0006198405517813129,2.0,1148.5974335583228,1182.5835425440437,0.0753775626377175
GOOGL,18141,2024-07-11 13:25:00,0.0003151260530279489,0.0007638822376565,0.000639553497191465,0.0008518451273244975,0.00039245910255202655,0.0006337805219011861,2.0,1559.1738284047267,1580.2483903883422,0.13150319299892177
GOOGL,18564,2024-07-19 09:40:00,0.00494633125842695,0.001043667576984,0.0008531695765361185,0.0009372901313558307,0.000690883029101855,0.0008531695765361185,2.0,763.0473044357842,782.7162978181489,0.024358680790955666
GOOGL,18652,2024-07-22 10:30:00,0.0,0.0010210367727767,0.0007091293607237393,0.0008723449436763683,0.000451009140579803,0.0007078104452532769,2.0,1377.7167487921733,1428.7653019199352,0.10823016242089188
