asset,model_name,n_obs,SMAPE,MAE,MSE,RMSE,mean_effective_neighbors,mean_no_q_effective_neighbors,mean_quotient_distance_share
EEM,FULL_MEAN_ACTION,100,154.0794019764015,0.0004961374429410542,1.244071028639255e-06,0.0011153793205180267,1269.2842535154937,1281.434874504029,0.1259260489054805
EEM,FULL_MEDIAN_ACTION,100,74.04863432000926,0.0003369445884616533,1.223663477819295e-06,0.0011061932371061102,1269.2842535154937,1281.434874504029,0.1259260489054805
EEM,NO_Q_SMAPE_ACTION,100,151.87697081214756,0.0005667993930597015,1.2258722205623655e-06,0.0011071911400306479,1269.2842535154937,1281.434874504029,0.1259260489054805
FXI,CP_REPO_FRESH,100,93.73989004129024,0.001005842474153405,1.4899374903145062e-05,0.0038599708422661773,1351.7812236103407,1366.2831638529158,0.19458708175064324
FXI,FULL_SMAPE_ACTION,100,86.36350301655939,0.0009141650798153175,1.5043537935085746e-05,0.0038785999967882413,1351.7812236103407,1366.2831638529158,0.19458708175064324
FXI,FULL_MEAN_ACTION,100,94.07786512572176,0.0009804378049886732,1.4678105083160886e-05,0.003831201519518503,1351.7812236103407,1366.2831638529158,0.19458708175064324
FXI,FULL_MEDIAN_ACTION,100,89.82169372957907,0.0009072924461611137,1.5126396453555913e-05,0.00388926682725111,1351.7812236103407,1366.2831638529158,0.19458708175064324
FXI,NO_Q_SMAPE_ACTION,100,87.08420317121008,0.0009191314326919429,1.5052780506695624e-05,0.003879791296796211,1351.7812236103407,1366.2831638529158,0.19458708175064324
GLD,CP_REPO_FRESH,100,111.12757486828009,0.0006899927337985373,2.429621477778828e-06,0.0015587243110245083,673.1738907832671,694.8562639371688,0.0832525050397761
GLD,FULL_SMAPE_ACTION,100,111.50714041400236,0.000705709659370512,2.4541367908018795e-06,0.0015665684762569045,673.1738907832671,694.8562639371688,0.0832525050397761
GLD,FULL_MEAN_ACTION,100,112.43594689678436,0.0006992682615333618,2.387333792106927e-06,0.0015450999294890047,673.1738907832671,694.8562639371688,0.0832525050397761
GLD,FULL_MEDIAN_ACTION,100,99.09637723054055,0.0006256077766071381,2.529626606327072e-06,0.0015904799924321815,673.1738907832671,694.8562639371688,0.0832525050397761
GLD,NO_Q_SMAPE_ACTION,100,111.65788419912592,0.0007089556390734557,2.4577039375196505e-06,0.0015677065852766105,673.1738907832671,694.8562639371688,0.0832525050397761
GOOGL,CP_REPO_FRESH,100,87.72011107492725,0.0010072186837008653,5.551915300533308e-06,0.0023562502627126236,852.8849300643683,865.0448464548053,0.09030533452247472
GOOGL,FULL_SMAPE_ACTION,100,84.80021688903851,0.000960131728054323,5.508367684906721e-06,0.0023469911983019284,852.8849300643683,865.0448464548053,0.09030533452247472
GOOGL,FULL_MEAN_ACTION,100,89.43259072304885,0.0010299357870708562,5.418113898691007e-06,0.0023276842351768866,852.8849300643683,865.0448464548053,0.09030533452247472
GOOGL,FULL_MEDIAN_ACTION,100,86.23112015634675,0.0009438371052635533,5.85962604932483e-06,0.0024206664473497438,852.8849300643683,865.0448464548053,0.09030533452247472
GOOGL,NO_Q_SMAPE_ACTION,100,84.85398978421594,0.0009602290363186503,5.512573174209552e-06,0.002347886959418948,852.8849300643683,865.0448464548053,0.09030533452247472
HYG,CP_REPO_FRESH,100,165.03414898144095,0.00017715867430489283,1.7856927291557583e-07,0.00042257457675015875,540.9431314218524,610.5942253674175,0.22418543964181864
HYG,FULL_SMAPE_ACTION,100,166.5697687022989,0.000513051027843083,6.328930214170522e-07,0.0007955457381050144,540.9431314218524,610.5942253674175,0.22418543964181864
HYG,FULL_MEAN_ACTION,100,164.73967402333344,0.00016527959229088035,2.066504790561668e-07,0.00045458825221970575,540.9431314218524,610.5942253674175,0.22418543964181864
HYG,FULL_MEDIAN_ACTION,100,45.04672277081528,0.00011440177506906275,2.0520714193009006e-07,0.0004529979491455674,540.9431314218524,610.5942253674175,0.22418543964181864
HYG,NO_Q_SMAPE_ACTION,100,166.5817382042305,0.0004322425228441961,4.329555487699278e-07,0.0006579935780613119,540.9431314218524,610.5942253674175,0.22418543964181864
QQQ,CP_REPO_FRESH,100,85.63865735035097,0.0008803803558714034,8.49509345019619e-06,0.002914634359606054,980.3525019562032,1010.3233847752349,0.09342714997998369
