model,family,feature_count,suite,n_tickers,smape_pct_mean,smape_pct_se,rmse_mean,rmse_se,mae_mean,mae_se,medae_mean,medae_se,diracc_pct_mean,diracc_pct_se
CRS_FC9_S1,CRS,9.0,random,10,101.25119205611105,7.694709014765559,0.0013957697874042055,0.0001733037560578791,0.0005914025946803472,7.539781292127025e-05,0.0004042998477514816,5.337986395030377e-05,59.20267923297449,3.8419813449620595
CRS_FC9_S2,CRS,9.0,random,10,101.07851939602651,7.697417159315864,0.0013950106053726807,0.00017324983759789094,0.0005900085812445041,7.530915924454976e-05,0.00040123439382432736,5.298151598963392e-05,59.29984690031381,3.84800725231244
EQWIN_FC3,EQWIN,3.0,capacity,10,101.00003078462132,7.701385641298983,0.0013945950331694617,0.0001732342142842752,0.0005887697443094059,7.511151175709381e-05,0.0004001012538060185,5.285627113985196e-05,59.32326340158577,3.8572994277413333
EQWIN_FC6,EQWIN,6.0,capacity,10,100.94170970097969,7.714084181895293,0.001393862337205543,0.00017301909955640344,0.0005878432939306177,7.491402855534724e-05,0.00039785021640552506,5.238351882949033e-05,59.389405141861154,3.8706595694940313
EQWIN_FC9,EQWIN,9.0,capacity,10,100.94319675034578,7.7171266216987275,0.0013937930169373646,0.00017297393883146468,0.0005877865471120228,7.4867820938305e-05,0.0003972119965124394,5.2198375054774785e-05,59.379875914745824,3.875928599312315
EWMA,EWMA,,external,10,112.93685756919426,6.586502014402489,0.0017292483605773148,0.0002170892714941326,0.0009749355942248438,0.00012230423764747364,0.0006768461005849721,8.919029335496141e-05,53.549924292124444,3.776907422971634
GARCH11,GARCH11,,external,10,119.04710899538463,6.168939910710709,0.0016924907381396202,0.00022382769883733773,0.0010654674086379402,0.0001334337409169431,0.0009910955131082102,0.00012072933840974279,49.96796371189116,3.5599942506295035
HAR,HAR,0.0,core,10,102.17107250397403,7.513497919386346,0.0014028286756852194,0.0001742724327281281,0.000603759527475453,7.639362956211124e-05,0.00043220683014174883,5.646423048548129e-05,58.542064006141516,3.693348240188022
HARQ,HARQ,4.0,external,10,101.8529642246944,7.681159754333523,0.6727302115587402,0.6566407034992435,0.004196943735833597,0.003466204977137535,0.000413580866496169,5.4345727761405056e-05,58.554190377610055,3.7343308554763976
HAR_TCJ,HAR_TCJ,,external,10,80.5667006662785,0.908857443278626,0.0013723288085212841,0.00020384572875134825,0.00060627312148666,8.07323731376998e-05,0.0004223622520386766,5.484731527825533e-05,68.08238294487805,0.5578253871605395
