feature_name,feature_family,source_model,n_lags,zero_block_sum_pass,max_abs_block_sum,global_weight_sum,global_level_sum_pass,block_sums_json,weights_json,asset,run_type,seed,prime_mode,laplacian_eigenvalue,diffusion_tau,model_role,component,pm_low_modes
PMQDK_MODE_21_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.6717422365704169,2.0261570199409107e-15,True,"{""B1"": 0.7081416535915406, ""B2"": -1.6717422365704167, ""B3"": 0.7945199991871185, ""B4"": 0.1690805837917595}","[8.845005100092324e-16, 0.5564728537275241, 0.15166879986401563, -0.230145154956681, -0.47799649863485877, -0.6663898289165016, -0.34471072607488257, 0.04749997201250719, 0.533652586907114, 0.7688262812747395, 0.6010566053040797, 0.10547973567260803, -0.32467961681200547, -0.8898155931594175, -0.9289896166897748, -0.6137342546146317, -0.47537717329972784, 0.1255108449354824, 0.5863081612089842, 0.6381598340498944, 0.679067478227055, 0.15813530997447814]",GOOGL,full,42,"[1, 0, 3]",7.618033988749895,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_21_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,2.69871649500295,-4.440892098500626e-16,True,"{""B1"": -0.4507914598223403, ""B2"": 2.3915784851370665, ""B3"": -2.69871649500295, ""B4"": 0.7579294696882228}","[-4.957099793013132e-16, -0.14832849577873336, -0.30246296404360645, 0.06571539168162972, 0.3850760681407094, 0.5640821582748394, 0.8061485918512299, 0.5705562751886584, 0.32470386670903634, -0.06951353110263143, -0.6206805493210519, -0.6662567877624626, -0.970104698732513, -0.6968647947933272, -0.13285222384301976, 0.5458238279684635, 0.692951809758804, 0.7020113875874603, 0.3064455364026605, -0.18271031319505732, -0.48922543692224996, -0.6845151180688385]",GOOGL,full,42,"[1, 0, 3]",7.618033988749895,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_22_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.316997951458894,3.1641356201816957e-15,True,"{""B1"": 0.07674916019041769, ""B2"": 1.316997951458894, ""B3"": -0.5752986238548947, ""B4"": -0.8184484877944138}","[3.155963015745154e-16, 0.02602852358824921, 0.05072063660216816, -0.06015882098426952, -0.016590339206144493, 0.5071462548465997, 0.4570063547393816, 0.4295945020633267, 0.27451722075595736, 0.10058226313717236, -0.09250942448206963, -0.3999241656580379, -0.22449572024927847, -0.23346879735863849, -0.26205605694279754, -0.5000523591768645, -0.29111859761649655, -0.25581941841621963, 0.01911039758695262, 0.178064133011773, 0.08541552881233214, 0.20800788494690667]",GOOGL,full,42,"[1, 1, 1]",8.381966011250105,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_22_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,4.516930488928793,2.3314683517128287e-15,True,"{""B1"": 0.2609292705095607, ""B2"": -2.3603391008015397, ""B3"": -2.417520658636812, ""B4"": 4.516930488928793}","[-3.085700072674273e-16, 0.11864953409056146, 0.14227973641899958, -0.08406099556069341, -0.17686827494886717, -0.673519686208265, -0.8066311676655845, -0.6192589764181298, -0.617779894024037, -0.6803208606131145, -0.45749220846726807, -0.4724562854861188, -0.16692998161994863, -0.02254142842632484, 0.0811503460072612, 0.23459533300245455, 0.38147256461530954, 0.6439092216190762, 0.7243823180110557, 0.7760387895547228, 0.8964165616730803, 0.7789653544458333]",GOOGL,full,42,"[1, 1, 1]",8.381966011250105,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_23_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.6821242603642212,-3.4416913763379853e-15,True,"{""B1"": 0.47108759043297843, ""B2"": -0.6821242603642212, ""B3"": -0.15187152102517634, ""B4"": 0.3629081909564158}","[-6.312314035742797e-16, -0.18807479994838874, 0.6591623903813678, -0.8272912936656887, 0.35620370323270956, 0.2826996966287707, -0.6473027450810191, 0.1535663785210063, 0.005587451549316136, 0.03392756091227809, -0.07107609540464438, 0.005327110888685261, -0.31987590132080035, 0.1942383523499889, -0.09551423665105946, 0.15278594399137513, -0.15024051125674673, -0.4928528675815737, 0.6274654897663814, -0.2946170274939271, -0.3644095452155032, 0.9802909453974694]",GOOGL,full,42,"[1, 1, 4]",8.381966011250105,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_23_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.3002356805747745,1.1657341758564144e-15,True,"{""B1"": 0.0034288707987256695, ""B2"": 0.3002356805747745, ""B3"": -0.17195242288112156, ""B4"": -0.13171212849237762}","[9.03832325544947e-16, -0.847940961360494, 0.8513698321592188, 0.31411596648711293, -0.31754483728583577, 0.6257494329158941, -0.09819826593837508, -0.22388661560402162, 0.02414158900434407, -0.24057015151183128, 0.27923422515782353, -0.05163878059308468, -0.09868919042046521, -0.08443011451790801, -0.10211117916429335, -0.08626678988637367, 0.5343421356484747, -0.5287940261347327, -0.2538274409735479, 0.6602261679619609, -0.818716868187344, 0.4634358722434785]",GOOGL,full,42,"[1, 1, 4]",8.381966011250105,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_24_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.6821242603642231,-3.996802888650564e-15,True,"{""B1"": 0.47108759043297876, ""B2"": -0.6821242603642231, ""B3"": -0.15187152102517534, ""B4"": 0.3629081909564158}","[-6.312314035742775e-16, -0.18807479994838938, 0.6591623903813688, -0.8272912936656882, 0.35620370323270867, 0.2826996966287704, -0.6473027450810194, 0.15356637852100538, 0.005587451549316197, 0.033927560912278096, -0.07107609540464396, 0.005327110888684879, -0.3198759013208002, 0.19423835234998962, -0.09551423665105942, 0.15278594399137518, -0.1502405112567462, -0.49285286758157393, 0.6274654897663802, -0.2946170274939263, -0.36440954521550356, 0.98029094539747]",GOOGL,full,42,"[1, 2, 1]",8.381966011250107,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_24_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.3002356805747743,-8.881784197001252e-16,True,"{""B1"": -0.0034288707987256695, ""B2"": -0.30023568057477434, ""B3"": 0.17195242288112034, ""B4"": 0.13171212849237873}","[-9.03832325544948e-16, 0.8479409613604936, -0.8513698321592184, -0.3141159664871136, 0.31754483728583643, -0.6257494329158938, 0.09819826593837407, 0.22388661560402257, -0.02414158900434523, 0.24057015151183123, -0.27923422515782287, 0.051638780593085305, 0.09868919042046412, 0.08443011451790781, 0.10211117916429391, 0.0862667898863731, -0.5343421356484754, 0.5287940261347324, 0.25382744097355003, -0.6602261679619618, 0.8187168681873437, -0.46343587224347715]",GOOGL,full,42,"[1, 2, 1]",8.381966011250107,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_25_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.316997951458891,3.386180225106728e-15,True,"{""B1"": 0.07674916019041876, ""B2"": 1.316997951458891, ""B3"": -0.5752986238548972, ""B4"": -0.8184484877944093}","[3.155963015745143e-16, 0.026028523588249478, 0.05072063660216897, -0.06015882098426996, -0.016590339206145166, 0.5071462548465994, 0.45700635473938056, 0.4295945020633261, 0.27451722075595697, 0.10058226313717203, -0.09250942448206985, -0.3999241656580388, -0.22449572024927889, -0.2334687973586386, -0.26205605694279727, -0.5000523591768641, -0.29111859761649617, -0.2558194184162196, 0.01911039758695354, 0.1780641330117738, 0.0854155288123327, 0.20800788494690786]",GOOGL,full,42,"[1, 2, 4]",8.381966011250107,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_25_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,4.516930488928792,-1.9984014443252818e-15,True,"{""B1"": -0.26092927050956166, ""B2"": 2.3603391008015424, ""B3"": 2.4175206586368083, ""B4"": -4.516930488928792}","[3.085700072674291e-16, -0.11864953409056199, -0.14227973641899996, 0.08406099556069396, 0.17686827494886748, 0.6735196862082649, 0.8066311676655848, 0.6192589764181312, 0.6177798940240371, 0.6803208606131139, 0.4574922084672682, 0.47245628548611857, 0.16692998161994724, 0.022541428426323402, -0.08115034600726125, -0.23459533300245464, -0.3814725646153094, -0.6439092216190757, -0.7243823180110548, -0.7760387895547227, -0.89641656167308, -0.7789653544458331]",GOOGL,full,42,"[1, 2, 4]",8.381966011250107,0.05,PM quotient harmonic basis,imag,
