asset,model_name,n_compared,max_abs_prediction_diff,mean_abs_prediction_diff,timestamp_alignment_exact,no_duplicate_dates,actual_target_match,selected_lambda_shape,selected_lambda_r_ratio,design_rank,feature_count,rank_deficient,threshold,first_failing_timestamp,passes,message
HYG,RANDOM_GATE_PLACEBO_REPO,8,1.9930346435714783e-16,7.515723340987407e-17,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
HYG,RIDGE_AR22,8,5.421010862427522e-20,3.3881317890172014e-20,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
HYG,CP_REPO_OPS_K,8,3.745918505937418e-17,1.842974286635907e-17,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
HYG,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
HYG,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
HYG,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
QQQ,CP_REPO_FRESH,8,1.6195812052588465e-15,5.186958718442214e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
QQQ,RAW_CP_REPO_PLUS_PM,8,1.2994813558542262e-14,5.264072597960245e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
QQQ,CP_REPO_RIDGE_OPS_R,8,1.672056590407145e-15,4.7683211545912485e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
QQQ,CP_REPO_LRPM,8,2.4982186458410997e-15,9.349752959700308e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
QQQ,CP_REPO_RIDGE_OPS_C,8,1.1501216645726233e-15,5.049332805172335e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
QQQ,CP_REPO_GATED_RIDGE_OPS_C,8,2.150406588907749e-15,4.460407737605365e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
QQQ,CP_REPO_OPS_HG,8,2.3238789365054306e-15,5.738275523151093e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
QQQ,RANDOM_GATE_PLACEBO_REPO,8,2.916829104637753e-15,9.37157252842158e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
QQQ,RIDGE_AR22,8,1.734723475976807e-18,5.692061405548898e-19,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
QQQ,CP_REPO_OPS_K,8,1.7871988611251055e-15,4.1726875860820245e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
QQQ,PM_QDK,8,0.0,0.0,True,True,True,0.0,0.0,71,71,False,1e-08,,True,
QQQ,PM_QDK_2,8,0.0,0.0,True,True,True,0.0,0.0,134,134,False,1e-08,,True,
QQQ,PHQO,8,0.0,0.0,True,True,True,0.0,0.0,22,22,False,1e-08,,True,
SPY,CP_REPO_FRESH,8,6.464013352358577e-16,2.2760791732259755e-16,True,True,True,0.0,0.0,13,13,False,1e-08,,True,
SPY,RAW_CP_REPO_PLUS_PM,8,4.725169908126325e-15,1.2732599263126645e-15,True,True,True,0.0,0.0,23,23,False,1e-08,,True,
SPY,CP_REPO_RIDGE_OPS_R,8,3.742665899419961e-16,1.7158854632298715e-16,True,True,True,0.001,10.0,22,23,True,1e-06,,True,
SPY,CP_REPO_LRPM,8,7.294512216482474e-16,2.223427605224648e-16,True,True,True,0.0,0.0,33,38,True,1e-06,,True,
SPY,CP_REPO_RIDGE_OPS_C,8,7.976475382975856e-16,3.399515911828299e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
SPY,CP_REPO_GATED_RIDGE_OPS_C,8,8.880699994828768e-16,3.024110909605193e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
SPY,CP_REPO_OPS_HG,8,4.636048489548017e-16,1.6664187391102203e-16,True,True,True,0.001,10.0,44,47,True,1e-06,,True,
SPY,RANDOM_GATE_PLACEBO_REPO,8,1.0325941490751944e-15,4.2824630560461823e-16,True,True,True,0.001,10.0,35,37,True,1e-06,,True,
SPY,RIDGE_AR22,8,1.843143693225357e-18,5.963111948670274e-19,True,True,True,0.001,10.0,22,22,False,1e-08,,True,
SPY,CP_REPO_OPS_K,8,4.651227319962814e-16,1.452830911130576e-16,True,True,True,0.001,10.0,21,21,False,1e-08,,True,
