ticker,baseline,model,family,feature_count,seed,offset,suite,n_obs,delta_smape_pp,delta_mae,win_rate_pct,dm_abs_stat,dm_abs_p,dm_smape_stat,dm_smape_p
FXI,HAR,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,,5.0,contiguous,36817,0.4047853933037061,5.651540329158963e-06,43.911779884292585,5.94315374090462,2.7958998057307596e-09,6.774004379927176,1.2526587713980907e-11
FXI,HAR,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,,1.0,contiguous,36817,0.3853041793804193,5.77584934067392e-06,44.41969742238639,5.839993239039773,5.2202940699317945e-09,6.000677036332891,1.9649647915238655e-09
FXI,HAR,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,,3.0,contiguous,36817,0.394111894312126,5.792272210793526e-06,44.52562674851291,5.8827914754349235,4.034040448453351e-09,6.149379457332493,7.778667794163809e-10
FXI,HAR,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,,5.0,contiguous,36817,0.3739289202815465,5.601991621972401e-06,44.058451258929296,5.677072977380013,1.370190279527205e-08,5.8470907919933754,5.002444999768147e-09
FXI,HAR,PM,PM,10.0,,,core,36817,0.2609291980344256,3.682820637578426e-06,43.01817095363555,4.359425684065607,1.3040422867915147e-05,4.998520354191378,5.777190937099761e-07
FXI,HAR,CP,CP,10.0,,,core,36817,0.49781006916213233,1.555605756367449e-05,42.605318195398866,9.502143468373383,2.0561364805566346e-21,3.7695401153991948,0.00016354862152799342
FXI,HAR,EWMA,EWMA,,,,external,36817,-17.52319685048655,-0.0006804311329128842,24.776597767335744,-30.484360973414386,4.200269285490824e-204,-42.586761490614734,0.0
FXI,HAR,HARQ,HARQ,4.0,,,external,35797,0.15116041854830745,-1.5472496544239764e-05,44.83615945470291,-1.432183310747829,0.15209136670941606,1.3137073880212617,0.18894469376558942
FXI,HAR,HAR_TCJ,HAR_TCJ,,,,external,24501,-4.46831034612704,-6.939123920344367e-05,31.827272356230356,-38.07725013441403,0.0,-30.94961743690007,2.5709269887361657e-210
FXI,HAR,GARCH11,GARCH11,,,,external,36817,-30.824236987920553,-0.0009241957931334695,16.875356492924464,-115.7933545903961,0.0,-91.23993982175108,0.0
FXI,HAR,COMP_COPRIME_FC6,COMP_COPRIME,6.0,,,modulo,36817,0.259519027718173,3.7298004666850744e-06,42.466795230464186,4.450001312940145,8.586976444032154e-06,5.074839586609366,3.8782303679949766e-07
FXI,HAR,COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,,,modulo,36817,0.2461233248729648,3.6164522366173616e-06,42.32283999239482,4.289866559506829,1.7878050544579722e-05,4.780486128145749,1.7487182534198195e-06
FXI,HAR,COMP_COPRIME_FC9,COMP_COPRIME,9.0,,,modulo,36817,0.2491497978611565,3.5547295133962952e-06,42.904093217806995,4.053248124754117,5.051137888065142e-05,4.652017786583164,3.2870271933491587e-06
FXI,HAR,COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,,,modulo,36817,0.2583295892237551,3.6592259504044654e-06,42.94211912974985,4.174245577762775,2.9897512254671636e-05,4.809628122026938,1.5121134913745309e-06
FXI,HAR,RAND_FC3_S0,RAND,3.0,0.0,,random,36817,0.21466494712904885,3.0646403360998585e-06,42.637911834207024,4.240289597866261,2.2323159421340085e-05,4.8485031852923,1.2439653403944456e-06
FXI,HAR,CRS_FC3_S0,CRS,3.0,0.0,,random,36817,0.4272030796880633,6.1572715158516616e-06,45.16120270527202,7.144073308795811,9.060503973539505e-13,8.198615559508028,2.431712358661154e-16
FXI,HAR,RAND_FC3_S1,RAND,3.0,1.0,,random,36817,0.2917962041445422,4.269286298739936e-06,42.971996631990656,5.035347870566121,4.769818137732765e-07,5.670933620815217,1.4202142152125035e-08
FXI,HAR,CRS_FC3_S1,CRS,3.0,1.0,,random,36817,0.1752895296813958,2.5220169832283533e-06,43.86288942608034,3.66295030795567,0.0002493269201529156,3.996808195115667,6.420227906689171e-05
FXI,HAR,RAND_FC3_S2,RAND,3.0,2.0,,random,36817,0.2917437152441815,4.12161957629312e-06,43.17570687454165,5.506814087337888,3.6538577131314745e-08,6.3031105472507845,2.9173065715989623e-10
FXI,HAR,CRS_FC3_S2,CRS,3.0,2.0,,random,36817,0.3419499594976354,4.751913014693069e-06,43.656463046962,5.210518221153136,1.8831388380171888e-07,6.217047274732315,5.065971724099833e-10
FXI,HAR,RAND_FC6_S0,RAND,6.0,0.0,,random,36817,0.20832775995696984,3.031046399443744e-06,43.19200369394573,3.972527524877909,7.11140158088256e-05,4.335437971242514,1.4547019206964296e-05
FXI,HAR,CRS_FC6_S0,CRS,6.0,0.0,,random,36817,0.46939613309896433,6.683871600411679e-06,44.23500013580683,6.7633395181445595,1.3484672763437329e-11,7.4629467791653505,8.460852902369025e-14
FXI,HAR,RAND_FC6_S1,RAND,6.0,1.0,,random,36817,0.2963706825999553,4.371040439071524e-06,42.80631230138251,5.024391790636457,5.050304504145846e-07,5.50226486182026,3.749431085139884e-08
FXI,HAR,CRS_FC6_S1,CRS,6.0,1.0,,random,36817,0.29433567276558065,4.80730950111145e-06,43.99598011788033,5.326294419608807,1.0023661016651669e-07,5.187673151116534,2.129379076141901e-07
FXI,HAR,RAND_FC6_S2,RAND,6.0,2.0,,random,36817,0.3383279862486919,4.780968452873922e-06,43.80313442159871,5.659978569965019,1.51391898753519e-08,6.441897992111118,1.17988575811173e-10
FXI,HAR,CRS_FC6_S2,CRS,6.0,2.0,,random,36817,0.3634357855597531,5.146495815743777e-06,44.15623217535378,5.484569489654761,4.1447753915869984e-08,6.311922376273641,2.7559045753462206e-10
FXI,HAR,RAND_FC9_S0,RAND,9.0,0.0,,random,36817,0.22100010173705964,3.1287810345751155e-06,43.30879756634163,3.839945455322355,0.00012306164867042463,4.280007302374161,1.8688718133062424e-05
FXI,HAR,CRS_FC9_S0,CRS,9.0,0.0,,random,36817,0.422977353250405,6.419222340063013e-06,44.3789553738762,6.29812501889399,3.012674926810749e-10,6.447245506151638,1.1390120450569277e-10
FXI,HAR,RAND_FC9_S1,RAND,9.0,1.0,,random,36817,0.29406789045629816,4.45159253240175e-06,43.968818752206865,4.851821943514598,1.2233242911444574e-06,5.007035431962079,5.527475501686357e-07
FXI,HAR,CRS_FC9_S1,CRS,9.0,1.0,,random,36817,0.23546372686802233,4.336080784414885e-06,43.92264443056197,4.759979147852793,1.9361296137453815e-06,3.9618098631796417,7.438376652660419e-05
FXI,HAR,RAND_FC9_S2,RAND,9.0,2.0,,random,36817,0.353136903143945,5.033546161388449e-06,44.35179400820273,5.543809872607235,2.9596019220039574e-08,6.06366286712478,1.3305591146877107e-09
FXI,HAR,CRS_FC9_S2,CRS,9.0,2.0,,random,36817,0.39511361761783215,5.377738001683374e-06,44.23500013580683,5.637505399101661,1.7253119738426344e-08,6.649165730222998,2.947589540594748e-11
FXI,PM,PM_FC3,PM_FC,3.0,,,capacity,36817,0.012744816366485959,3.658597464364048e-07,40.220550289268544,2.5081754406141137,0.012135639667465175,0.9752508570068487,0.3294358407083271
FXI,PM,CP_FC3,CP_FC,3.0,,,capacity,36817,0.046565793058091824,1.619545028044301e-06,39.383980226525786,2.032490689042118,0.04210400543374887,0.9361294747405327,0.3492065289939257
FXI,PM,EQWIN_FC3,EQWIN,3.0,,,capacity,36817,0.1522376598167335,2.2572449397046097e-06,42.03764565282342,5.879678861745863,4.110632038261801e-09,5.964997307990532,2.446380750669349e-09
FXI,PM,PREFIX_FC3,PREFIX,3.0,,,capacity,36817,0.15225880084055562,2.296917799161931e-06,41.12230762962762,6.04818775247003,1.4648419076500517e-09,6.021448362140872,1.7286317375067326e-09
FXI,PM,PM_FC6,PM_FC,6.0,,,capacity,36817,0.0028225310558333046,1.4749986677984384e-07,40.277589157182824,1.5423983820955154,0.12297681449461695,0.32069482026599805,0.7484416729650811
FXI,PM,CP_FC6,CP_FC,6.0,,,capacity,36817,0.430861194693471,8.78756945463123e-06,39.280767036966616,6.189483137338947,6.036180946575528e-10,4.678633706583092,2.887928232737173e-06
FXI,PM,EQWIN_FC6,EQWIN,6.0,,,capacity,36817,0.15623024596514198,2.9308414743385136e-06,41.548741070701034,5.554342399069061,2.786587952348762e-08,3.6529886941658303,0.0002592056482356441
FXI,PM,PREFIX_FC6,PREFIX,6.0,,,capacity,36817,0.09910213570714595,2.8205020342853945e-06,40.644267593774615,4.885340628377493,1.0325019431016923e-06,1.9536333638444603,0.05074459199626136
FXI,PM,PM_FC9,PM_FC,9.0,,,capacity,36817,0.003209652860843702,5.3953588438726984e-08,40.43240894152158,3.649541117281576,0.00026270918849348446,2.2207344129732385,0.02636895516345127
FXI,PM,CP_FC9,CP_FC,9.0,,,capacity,36817,0.26160458153089305,1.1347070828912378e-05,38.6207458511014,6.839639515592661,7.939270587320442e-12,2.1203457589370625,0.033976897363352666
FXI,PM,EQWIN_FC9,EQWIN,9.0,,,capacity,36817,0.0979335534791304,2.489842601238212e-06,41.22552081918679,4.462703960211005,8.09318314714202e-06,1.9827281925045754,0.047397798702301465
FXI,PM,PREFIX_FC9,PREFIX,9.0,,,capacity,36817,0.13485561949647404,2.985299449842262e-06,40.782790558709294,5.172756875138513,2.3066506656817335e-07,2.8269267226920305,0.004699708088088082
FXI,PM,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,,1.0,contiguous,36817,0.1478868534887397,1.7674247886976965e-06,41.79590949832958,4.320656571297914,1.5556562845286574e-05,4.511632674741342,6.433052433783993e-06
FXI,PM,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,,3.0,contiguous,36817,0.1551420224177575,2.9164229845443577e-06,41.32873400874596,5.645660007635461,1.6454874848883473e-08,3.6736439761301214,0.0002391158430351805
FXI,PM,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,,5.0,contiguous,36817,0.14385619526928053,1.968719691580536e-06,41.64652198712551,4.8830528966817095,1.044558347241936e-06,4.329216564026143,1.4964072580155854e-05
FXI,PM,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,,1.0,contiguous,36817,0.12437498134599359,2.0930287030954942e-06,41.98060678490915,4.458352402456779,8.259203796056743e-06,3.194940252764511,0.0013985979098562573
FXI,PM,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,,3.0,contiguous,36817,0.13318269627770035,2.109451573215101e-06,41.972458375207104,4.633412572822988,3.596866989512421e-06,3.4321248718075914,0.0005988717446830039
FXI,PM,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,,5.0,contiguous,36817,0.11299972224712085,1.919170984393975e-06,41.627509031154084,4.1623163116493345,3.1503554174949866e-05,2.872899915866901,0.004067229432130026
FXI,PM,HAR,HAR,0.0,,,core,36817,-0.2609291980344256,-3.682820637578426e-06,39.04717929217481,-4.359425684065607,1.3040422867915147e-05,-4.998520354191378,5.777190937099761e-07
FXI,PM,CP,CP,10.0,,,core,36817,0.23688087112770664,1.1873236926096065e-05,38.69408153841975,7.038296719493609,1.9460394271532712e-12,1.834570530058353,0.06656934853466279
FXI,PM,EWMA,EWMA,,,,external,36817,-17.784126048520974,-0.0006841139535504627,24.2496672732705,-31.104437489639565,2.0977202205513892e-212,-44.42198751483644,0.0
FXI,PM,HARQ,HARQ,4.0,,,external,35797,-0.11304037649198038,-1.9249779351966953e-05,40.41958823365086,-1.7873822595159155,0.07387572693789199,-0.9341434644169713,0.3502298940605043
FXI,PM,HAR_TCJ,HAR_TCJ,,,,external,24501,-4.748871163892706,-7.111007995329195e-05,32.47214399412269,-39.664595190078245,0.0,-32.53410255716918,3.5141730429005226e-232
FXI,PM,GARCH11,GARCH11,,,,external,36817,-31.085166185954986,-0.0009278786137710479,16.829182171279573,-117.24726883040408,0.0,-91.58237449389105,0.0
FXI,PM,COMP_COPRIME_FC6,COMP_COPRIME,6.0,,,modulo,36817,-0.001410170316252686,4.6979829106648935e-08,39.78053616535839,0.31177835954666366,0.7552089714360636,-0.09809298064050415,0.9218584612836458
FXI,PM,COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,,,modulo,36817,-0.01480587316146084,-6.63684009610642e-08,39.68818752206861,-0.37358182969967485,0.7087154545049847,-0.8944218601253552,0.37109622068386583
FXI,PM,COMP_COPRIME_FC9,COMP_COPRIME,9.0,,,modulo,36817,-0.011779400173269084,-1.280911241821301e-07,40.39709916614607,-0.5949706893911667,0.5518630636326453,-0.6457474707593277,0.5184429120345458
FXI,PM,COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,,,modulo,36817,-0.002599608810670545,-2.359468717396067e-08,40.633403047505226,-0.10929728407663829,0.9129667006845659,-0.14537165372082084,0.8844174439520383
FXI,PM,RAND_FC3_S0,RAND,3.0,0.0,,random,36817,-0.0462642509053768,-6.181803014785672e-07,37.81948556373415,-2.686071239856961,0.007229767209624227,-2.647233482123014,0.00811533006754566
FXI,PM,CRS_FC3_S0,CRS,3.0,0.0,,random,36817,0.16627388165363766,2.474450878273236e-06,40.47315099003178,5.801476842045065,6.5733376235865825e-09,5.85376930438526,4.805550977240885e-09
FXI,PM,RAND_FC3_S1,RAND,3.0,1.0,,random,36817,0.030867006110116574,5.864656611615094e-07,40.693158051986856,2.724248501622411,0.006444799422593501,1.7123374616374227,0.08683449677919683
FXI,PM,CRS_FC3_S1,CRS,3.0,1.0,,random,36817,-0.08563966835302983,-1.160803654350072e-06,38.00418285031371,-2.607163404223283,0.00912957809539305,-2.3835769591962683,0.01714529911885403
FXI,PM,RAND_FC3_S2,RAND,3.0,2.0,,random,36817,0.030814517209755827,4.387989387146948e-07,38.87063041529728,1.8753313585623628,0.06074715184666848,1.6459240123591965,0.09977940452338907
FXI,PM,CRS_FC3_S2,CRS,3.0,2.0,,random,36817,0.08102076146320977,1.0690923771146432e-06,41.307004916207184,3.8055441217047203,0.00014149278727861993,3.5654933251291254,0.00036317240552876203
FXI,PM,RAND_FC6_S0,RAND,6.0,0.0,,random,36817,-0.05260143807745581,-6.517742381346817e-07,39.27805090039927,-2.782529481300566,0.005393696470944274,-2.700563732632246,0.006922207301773273
FXI,PM,CRS_FC6_S0,CRS,6.0,0.0,,random,36817,0.2084669350645387,3.001050962833252e-06,41.76331585952141,6.215709693979224,5.109319015849219e-10,5.647416617717866,1.6287678835172643e-08
FXI,PM,RAND_FC6_S1,RAND,6.0,1.0,,random,36817,0.03544148456552968,6.882198014930984e-07,40.20425346986446,2.7588225109117355,0.005801003243981993,1.601899531082541,0.109177828219898
FXI,PM,CRS_FC6_S1,CRS,6.0,1.0,,random,36817,0.03340647473115496,1.124488863533024e-06,39.21286362278295,2.55483425052215,0.01062383736393882,0.9217308188049123,0.3566690009350364
FXI,PM,RAND_FC6_S2,RAND,6.0,2.0,,random,36817,0.07739878821426631,1.0981478152954966e-06,40.611673954966456,4.035197875132962,5.455630001458149e-05,3.192832850055546,0.0014088447176563493
FXI,PM,CRS_FC6_S2,CRS,6.0,2.0,,random,36817,0.10250658752532746,1.4636751781653506e-06,40.22598256240324,3.802412093895217,0.00014329411743362579,3.2927084919040364,0.0009922729689637803
FXI,PM,RAND_FC9_S0,RAND,9.0,0.0,,random,36817,-0.03992909629736602,-5.540396030033103e-07,38.764701089170764,-2.626436895391838,0.008628398978086767,-2.0294971247431,0.04240768154773987
FXI,PM,CRS_FC9_S0,CRS,9.0,0.0,,random,36817,0.16204815521597934,2.736401702484588e-06,41.353179237852075,5.398953899561529,6.703059395950761e-08,4.043131025360062,5.274212728241178e-05
FXI,PM,RAND_FC9_S1,RAND,9.0,1.0,,random,36817,0.03313869242187249,7.687718948233235e-07,41.00279762066437,2.219401378073062,0.026459429995162275,1.0662737069792556,0.2862999315660788
FXI,PM,CRS_FC9_S1,CRS,9.0,1.0,,random,36817,-0.02546547116640333,6.532601468364584e-07,39.24817339815846,1.376763138249926,0.16858549092621722,-0.6221359194074879,0.5338524978824174
FXI,PM,RAND_FC9_S2,RAND,9.0,2.0,,random,36817,0.09220770510951934,1.3507255238100218e-06,40.99464921096232,4.055966827443709,4.9927345650637654e-05,3.111207721751466,0.0018632382171512485
FXI,PM,CRS_FC9_S2,CRS,9.0,2.0,,random,36817,0.13418441958340654,1.6949173641049486e-06,41.98060678490915,4.51734370377004,6.2620217529641256e-06,4.351058280916902,1.3548203149780775e-05
FXI,CP,PM_FC3,PM_FC,3.0,,,capacity,36817,-0.22413605476122073,-1.150737717965966e-05,42.51025341554173,-6.865463173636534,6.627586113510752e-12,-1.71970912006626,0.0854853292078732
