baseline,model,family,feature_count,suite,n_tickers,delta_smape_pp_mean,delta_smape_pp_se,delta_mae_mean,delta_mae_se,win_rate_pct_mean,win_rate_pct_se
HAR,CP_FC9,CP_FC,9.0,capacity,10,1.2951477901286235,0.37772547488042496,1.704469334550571e-05,2.0697036140942274e-06,45.26080989251375,3.473687754787371
HAR,CRS_FC3_S0,CRS,3.0,random,10,1.1603948499861532,0.2636087387859948,1.4638006768678392e-05,2.2274567613812263e-06,46.248611628484674,3.4217140010158986
HAR,CRS_FC3_S1,CRS,3.0,random,10,0.6046715387630711,0.16736656367368505,7.344766591456423e-06,1.1220508307852438e-06,44.69631371192674,3.2230272294289555
HAR,CRS_FC3_S2,CRS,3.0,random,10,1.0073967129794643,0.2422093463985847,1.249136951296601e-05,1.8384667491227626e-06,45.48026564654002,3.3531470730162156
HAR,CRS_FC6_S0,CRS,6.0,random,10,1.2219381524072754,0.28262635510511386,1.5750150559950185e-05,2.4272496037236184e-06,45.71123239606251,3.3340205543945562
HAR,CRS_FC6_S1,CRS,6.0,random,10,0.9385363152309125,0.24286571576173438,1.257016616984226e-05,1.927748113393923e-06,45.45025262949674,3.2880578404523457
HAR,CRS_FC6_S2,CRS,6.0,random,10,1.0395925617562842,0.2510249449772028,1.3208086423171946e-05,2.004700880706238e-06,45.562361016604484,3.338135636377587
HAR,CRS_FC9_S0,CRS,9.0,random,10,1.213045855068114,0.2848972635117037,1.5701590317038237e-05,2.435568751252209e-06,45.75475228362459,3.350088882433779
HAR,CRS_FC9_S1,CRS,9.0,random,10,0.9198804478629746,0.24497639188018086,1.2356932795105748e-05,1.8684304072129166e-06,45.3147174221792,3.281430924679272
HAR,CRS_FC9_S2,CRS,9.0,random,10,1.0925531079475217,0.25881442942920585,1.3750946230948785e-05,2.0489228522319844e-06,45.38596496907756,3.2952867654435556
HAR,EQWIN_FC3,EQWIN,3.0,capacity,10,1.171041719352703,0.2687230270971433,1.4989783166046925e-05,2.244203554915957e-06,45.65430021740707,3.315121436047506
HAR,EQWIN_FC6,EQWIN,6.0,capacity,10,1.2293628029943462,0.28566266484568975,1.591623354483525e-05,2.4335155842361577e-06,45.757570488787835,3.3454102660738347
HAR,EQWIN_FC9,EQWIN,9.0,capacity,10,1.2278757536282456,0.29115499007697226,1.5972980363430114e-05,2.5187859434593717e-06,45.78064207982446,3.350821673505582
HAR,EWMA,EWMA,,external,10,-10.765785065220246,1.2236889134141582,-0.0003711760667493909,5.146213996305369e-05,28.19665049504382,0.9810363159829127
HAR,GARCH11,GARCH11,,external,10,-16.876036491410588,2.315403722991976,-0.00046170788116248716,6.81939866227094e-05,22.0612529524308,0.9160192989197419
HAR,HARQ,HARQ,4.0,external,10,0.3489397224241131,0.18587839203900133,-0.0035923453528741746,0.0034764172372200954,44.823211118907395,3.559476824356278
HAR,HAR_TCJ,HAR_TCJ,,external,10,0.11526757248202897,0.5916002480558232,-9.914660603123899e-06,7.812510272191541e-06,47.47879172255001,2.3976223952040137
HAR,PM,PM,10.0,core,10,0.7647970299841713,0.20997776830887263,9.229388820440997e-06,1.3195484464569434e-06,43.986620710050936,3.066021679587415
HAR,PM_FC3,PM_FC,3.0,capacity,10,0.7696961615636374,0.20606206105418082,9.36500127632862e-06,1.3040605243111003e-06,43.775288569401155,3.040093975432136
HAR,PM_FC6,PM_FC,6.0,capacity,10,0.7678074599007966,0.2095697323392787,9.328394236611361e-06,1.3159614737032558e-06,43.87075932440003,3.056252785856441
HAR,PM_FC9,PM_FC,9.0,capacity,10,0.7663585998405407,0.2100960051022686,9.251388478951637e-06,1.3214378840424962e-06,43.977941182868854,3.0735048452043974
HAR,PREFIX_FC3,PREFIX,3.0,capacity,10,1.1948743652056106,0.2780890063366131,1.5093325119658506e-05,2.378611515467594e-06,45.70734388271687,3.337791252389797
HAR,PREFIX_FC6,PREFIX,6.0,capacity,10,1.2296350333377866,0.2933732399351741,1.6006525079932583e-05,2.5900969869378313e-06,45.88346831658706,3.3560238317158686
HAR,PREFIX_FC9,PREFIX,9.0,capacity,10,1.2272575142532642,0.29252833346428975,1.5954969060035768e-05,2.5562317165821116e-06,45.90985117079056,3.356557595275036
HAR,RAND_FC3_S0,RAND,3.0,random,10,0.657678006801927,0.18549453417047226,7.91221074775497e-06,1.1560801036567285e-06,43.748262725923226,3.027936768355414
HAR,RAND_FC3_S1,RAND,3.0,random,10,0.793111872024039,0.21199141239762848,9.78966295982232e-06,1.4011593784028468e-06,44.17226430839899,3.1021457695562424
