model_name,condition,n_obs,mean_advantage_vs_CP,standard_error,ci_low_approx,ci_high_approx,p_value_mean_advantage_gt_0,asset_sign_count,number_of_assets_positive,number_of_assets,inference_method,fdr_adjusted_p_value
RAW_CP_REPO_PLUS_PM,older_spike_position,108871,-0.4576971750904024,0.033866694752257176,-0.5240758968048265,-0.39131845337597837,1.0,-10,0,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,same_average_different_path,7396,-0.06582518085151817,0.08765712379332784,-0.23763314348644074,0.1059827817834044,0.773655412095213,-4,3,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,recent_ramp_high_dispersion,24273,1.1997049043791372,0.07670768142149542,1.0493578487930062,1.3500519599652683,1.944927157799603e-55,8,9,10,normal_approx_row_se,1.76340062307164e-53
RAW_CP_REPO_PLUS_PM,entry_with_recent_spike,43747,0.6678170522660087,0.04700712572246571,0.575683085849976,0.7599510186820415,4.161708525046429e-46,8,9,10,normal_approx_row_se,1.886641198021048e-44
RAW_CP_REPO_PLUS_PM,entry_without_recent_spike,29710,-0.3743339765503318,0.058598878839257844,-0.48918777907527716,-0.2594801740253864,0.999999999916006,-10,0,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,same_average_recent_front_loaded,14331,-0.14645944457252072,0.07344505707708511,-0.2904117564436075,-0.002507132701433906,0.9769314121139908,-4,3,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,same_average_back_loaded,15559,-0.47798105686739245,0.06553900080622675,-0.6064374984475969,-0.34952461528718803,0.9999999999998486,-8,1,10,normal_approx_row_se,1.0
RAW_CP_REPO_PLUS_PM,stable_low_dispersion,68968,-0.6834977341284219,0.03754528790616182,-0.757086498424499,-0.6099089698323447,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,all_observations,367248,-0.12839769838234588,0.009865975170333299,-0.14773500971619916,-0.10906038704849262,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,cluster_entry_loose,73457,-0.028956883531269864,0.018117020981500406,-0.06446624465501066,0.006552477592470934,0.9450146420715385,-8,1,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,cluster_entry_strict,73266,-0.03199053766225705,0.01803944707442063,-0.06734785392812148,0.003366778603607387,0.9619159400776623,-8,1,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,cluster_exit_loose,73455,-0.2755271203927765,0.028035124743412115,-0.33047596488986425,-0.22057827589568874,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,cluster_exit_strict,73334,-0.27562936748953965,0.02806539005665489,-0.3306375320005832,-0.22062120297849605,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,inflection_points,144886,-0.1494385058523734,0.015666332797416693,-0.1801445181353101,-0.11873249356943667,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,high_within_block_dispersion,68970,-0.24404253868495987,0.03242394853264391,-0.3075934778089419,-0.18049159956097782,0.9999999999999739,-6,2,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,recent_spike_position,125358,-0.004541886443838571,0.013323151605003079,-0.030655263589644606,0.021571490701967462,0.6334112474119286,0,5,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,older_spike_position,108871,-0.18382732808116328,0.019463235417027804,-0.22197526949853777,-0.1456793866637888,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,same_average_different_path,7396,-0.014380779659177863,0.04335431596200685,-0.09935523894471128,0.07059367962635556,0.6299434326672632,-2,4,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,recent_ramp_high_dispersion,24273,0.05138922818005443,0.035531215556471096,-0.01825195431062892,0.12103041067073778,0.07404483701929078,0,5,10,normal_approx_row_se,0.2918868937572042
CP_REPO_OPS_R,entry_with_recent_spike,43747,0.11548856860840863,0.019869583609559434,0.07654418473367214,0.15443295248314512,3.0804695374703847e-09,6,8,10,normal_approx_row_se,2.4643756299763078e-08
CP_REPO_OPS_R,entry_without_recent_spike,29710,-0.241648071506851,0.033881604638912176,-0.30805601659911885,-0.17524012641458314,0.9999999999995058,-8,1,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,same_average_recent_front_loaded,14331,-0.07453704339587078,0.03424065917711271,-0.1416487353830117,-0.007425351408729866,0.985254407710048,-8,1,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,same_average_back_loaded,15559,-0.06475808469317478,0.02959841720948507,-0.12277098242376551,-0.0067451869625840405,0.9856611965624307,-4,3,10,normal_approx_row_se,1.0
CP_REPO_OPS_R,stable_low_dispersion,68968,-0.15276914963826332,0.0202588420364657,-0.1924764800297361,-0.11306181924679054,0.9999999999999767,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,all_observations,367248,-0.12830557882257917,0.009863664549727497,-0.14763836134004507,-0.10897279630511328,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,cluster_entry_loose,73457,-0.028763284373364083,0.01810509811212275,-0.06424927667312466,0.0067227079263965026,0.9439341527254516,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,cluster_entry_strict,73266,-0.03179425540597754,0.018027395207150257,-0.06712795001199204,0.0035394392000369646,0.9611056586512332,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,cluster_exit_loose,73455,-0.275329908741731,0.028035469480827746,-0.3302794289241534,-0.22038038855930864,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,cluster_exit_strict,73334,-0.2754304817621333,0.028065731007937543,-0.3304393145376909,-0.22042164898657574,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,inflection_points,144886,-0.1491922456935289,0.015663216835014412,-0.17989215069015715,-0.11849234069690065,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,high_within_block_dispersion,68970,-0.24356307355346402,0.03241537260522517,-0.30709720385970535,-0.18002894324722268,0.9999999999999712,-6,2,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,recent_spike_position,125358,-0.0045490350631238,0.013321740072593334,-0.030659645605406738,0.021561575479159135,0.6336268157823477,0,5,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,older_spike_position,108871,-0.1835946614683996,0.019454193747636475,-0.22172488121376707,-0.1454644417230321,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,same_average_different_path,7396,-0.014190554258004627,0.04335924025351669,-0.09917466515489733,0.07079355663888807,0.6282714361543786,-2,4,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,recent_ramp_high_dispersion,24273,0.05148573196239575,0.03548245033768884,-0.018059870699474373,0.12103133462426588,0.07338719708132088,0,5,10,normal_approx_row_se,0.2918868937572042
CP_REPO_RIDGE_OPS_R,entry_with_recent_spike,43747,0.11554802370774774,0.019868191801005245,0.07660636777777746,0.154489679637718,3.0185061040977144e-09,6,8,10,normal_approx_row_se,2.4643756299763078e-08
CP_REPO_RIDGE_OPS_R,entry_without_recent_spike,29710,-0.24125694962494262,0.0338444629379294,-0.30759209698328427,-0.174921802266601,0.9999999999994923,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,same_average_recent_front_loaded,14331,-0.07429223336609435,0.034243878466057566,-0.1414102351595672,-0.007174231572621523,0.9849777817740821,-8,1,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,same_average_back_loaded,15559,-0.06457502157047047,0.02959180734924972,-0.12257496397499992,-0.006575079165941022,0.9854523375847508,-4,3,10,normal_approx_row_se,1.0
CP_REPO_RIDGE_OPS_R,stable_low_dispersion,68968,-0.1527836306157741,0.020257396970515703,-0.19248812867798487,-0.11307913255356333,0.9999999999999769,-8,1,10,normal_approx_row_se,1.0
CP_REPO_LRPM,all_observations,367248,-0.20054141651714436,0.019267456547180283,-0.2383056313496177,-0.162777201684671,1.0,-8,1,10,normal_approx_row_se,1.0
CP_REPO_LRPM,cluster_entry_loose,73457,0.16868423394339332,0.03916376352670154,0.09192325743105831,0.24544521045572834,8.268545067019714e-06,4,7,10,normal_approx_row_se,4.8892266483247e-05
CP_REPO_LRPM,cluster_entry_strict,73266,0.16318120175163908,0.03911483802444295,0.08651611922373091,0.23984628427954724,1.5106885668993315e-05,4,7,10,normal_approx_row_se,8.218145803932362e-05
CP_REPO_LRPM,cluster_exit_loose,73455,-0.6730409364119949,0.04921338927613259,-0.7694991793932148,-0.5765826934307751,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_LRPM,cluster_exit_strict,73334,-0.6737218677457398,0.04927091010022214,-0.7702928515421752,-0.5771508839493045,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_LRPM,inflection_points,144886,-0.257418795710286,0.031098889790566478,-0.31837261969979624,-0.19646497172077568,0.9999999999999999,-10,0,10,normal_approx_row_se,1.0
CP_REPO_LRPM,high_within_block_dispersion,68970,-0.20353062445006664,0.05778530080534436,-0.31678981402854156,-0.0902714348715917,0.9997859987881194,-4,3,10,normal_approx_row_se,1.0
CP_REPO_LRPM,recent_spike_position,125358,0.1568433332606941,0.02806321213264279,0.10183943748071424,0.211847229040674,1.1423639214610413e-08,8,9,10,normal_approx_row_se,8.631194073261201e-08
CP_REPO_LRPM,older_spike_position,108871,-0.38877112871414105,0.03638027694177964,-0.4600764715200292,-0.3174657859082529,1.0,-10,0,10,normal_approx_row_se,1.0
CP_REPO_LRPM,same_average_different_path,7396,0.34707320117138085,0.09598978133609706,0.1589332297526306,0.5352131725901311,0.00014975079320936414,4,7,10,normal_approx_row_se,0.0007146002763674921
CP_REPO_LRPM,recent_ramp_high_dispersion,24273,0.7615204555678619,0.07796003934228878,0.6087187784569759,0.9143221326787478,7.716924743348923e-23,6,8,10,normal_approx_row_se,1.311877206369317e-21
CP_REPO_LRPM,entry_with_recent_spike,43747,0.5258354912597637,0.04624456719333135,0.43519613956083425,0.6164748429586931,2.9240875879865073e-30,8,9,10,normal_approx_row_se,6.62793186610275e-29
CP_REPO_LRPM,entry_without_recent_spike,29710,-0.35720927173884337,0.068731601858071,-0.49192321138066253,-0.2224953320970242,0.9999998988230138,-6,2,10,normal_approx_row_se,1.0
