model_name,benchmark_model,asset,condition,condition_label_type,loss_variant,loss_metric,n_obs,CP_loss,model_loss,advantage_CP_minus_model
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,high_vol_only,RMSE,1469,0.0023764323904066254,0.0023764323904066254,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,high_vol_only,LOG_RV_MSE,1469,1.0955969444383458,1.0955969444383458,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,near_zero_excluded,SMAPE,7342,103.16873443558283,103.16873443558283,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,near_zero_excluded,MAE,7342,0.0007442618741786026,0.0007442618741786026,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,near_zero_excluded,MSE,7342,1.6280414221220492e-06,1.6280414221220492e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,near_zero_excluded,RMSE,7342,0.001275947264632065,0.001275947264632065,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,high_within_block_dispersion,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,7342,73.09276872247825,73.09276872247825,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,standard,SMAPE,11065,88.42572535782642,88.42572535782642,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,standard,MAE,11065,0.0009032847440538886,0.0009032847440538886,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,standard,MSE,11065,3.476934437869241e-06,3.476934437869241e-06,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,standard,RMSE,11065,0.001864653972690172,0.001864653972690172,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,standard,LOG_RV_MSE,11065,33.15874418849159,33.15874418849159,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,high_vol_only,SMAPE,2213,81.39653676837766,81.39653676837766,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,high_vol_only,MAE,2213,0.0022210071239674315,0.0022210071239674315,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,high_vol_only,MSE,2213,1.490995155346568e-05,1.490995155346568e-05,0.0
CP_REPO_FRESH,CP_REPO_FRESH,AAPL,recent_spike_position,ex_post_descriptive,high_vol_only,RMSE,2213,0.003861340641987661,0.003861340641987661,0.0
