model_name,condition,condition_label_type,loss_variant,loss_metric,n_obs_total,n_assets,pooled_CP_loss,pooled_model_loss,pooled_advantage_CP_minus_model,equal_weight_asset_advantage,assets_positive
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,high_vol_only,MAE,14671,10,0.0015007236426876971,0.0015007236426876971,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,high_vol_only,MSE,14671,10,1.2686413406552538e-05,1.2686413406552538e-05,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,high_vol_only,RMSE,14671,10,0.003561799181109533,0.003561799181109533,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,high_vol_only,SMAPE,14671,10,73.684845994303,73.684845994303,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,LOG_RV_MSE,72600,10,80.02173783897848,80.02173783897848,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,MAE,72600,10,0.0006184535179022776,0.0006184535179022776,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,MSE,72600,10,2.7805878498197563e-06,2.7805878498197563e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,RMSE,72600,10,0.0016675094751814027,0.0016675094751814027,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,near_zero_excluded,SMAPE,72600,10,96.72258691267511,96.72258691267511,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,standard,LOG_RV_MSE,73334,10,81.90717235117306,81.90717235117306,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,standard,MAE,73334,10,0.000617143413936819,0.000617143413936819,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,standard,MSE,73334,10,2.7556748132676994e-06,2.7556748132676994e-06,0.0,0.0,0
CP_REPO_FRESH,cluster_exit_strict,ex_post_descriptive,standard,RMSE,73334,10,0.0016600225339638314,0.0016600225339638314,0.0,0.0,0
