model_name,condition,n_obs_total,n_assets,corr_cp_residual_delta_equal_weight,mean_delta_pooled,std_delta_equal_weight,mean_2e_delta_pooled,mean_delta_squared_pooled,ratio_2Eedelta_over_Edelta2_pooled,actual_smape_advantage_pooled,win_rate_vs_cp_pooled,assets_positive_smape_advantage
CP_REPO_RIDGE_OPS_R,recent_ramp_high_dispersion,24273,10,0.1115072018635719,1.0326411820012269e-06,5.314205683143085e-05,1.6349014527389336e-08,3.137945198750172e-09,5.21010199091465,0.0514856912321572,0.4043175544844065,5
CP_REPO_RIDGE_OPS_R,entry_with_recent_spike,43747,10,0.086092443016119,-4.516333491255906e-06,4.156292733355792e-05,1.2435606370017464e-08,1.9184309361575467e-09,6.4821756862016215,0.1155480198232646,0.4641003954556884,8
CP_REPO_RIDGE_OPS_R,entry_without_recent_spike,29710,10,-0.0110245758736915,1.2354112741139525e-05,4.560186872770907e-05,-2.4132247886159685e-10,2.537088145957935e-09,-0.0951178930247534,-0.2412569667441873,0.4076741837765062,1
CP_REPO_RIDGE_OPS_R,same_average_recent_front_loaded,14331,10,-0.0060628186765531,2.673715268236623e-07,2.867999204786551e-05,-3.093008766840209e-11,9.59934720812269e-10,-0.0322210323241875,-0.0742922389219245,0.4309538762124066,1
CP_REPO_RIDGE_OPS_R,same_average_back_loaded,15559,10,-6.27156776621101e-05,-7.809937074494596e-08,2.7729548234989105e-05,3.2130222614698027e-10,8.352651652770618e-10,0.3846709278728302,-0.0645750218467586,0.3611414615335175,3
CP_REPO_RIDGE_OPS_R,stable_low_dispersion,68968,10,0.0125268167526709,2.178160186391539e-06,3.293808037263438e-05,1.930855890952482e-09,1.3076596775699607e-09,1.4765737019134937,-0.1527836269663807,0.4591259714650272,1
CP_REPO_LRPM,all_rows,367447,10,0.0007172952769417,17990652.131992918,3657187170.595744,-30439.716473200617,1.146781218283531e+20,-2.65436126681268e-16,-12.142831463164152,0.3432386167256774,0
CP_REPO_LRPM,all_observations,367227,10,0.0007176073693288,18001430.05264973,3658282510.011702,-30457.952435218936,1.147468237124799e+20,-2.6543612668126793e-16,-12.140168591701489,0.3433108132027329,0
CP_REPO_LRPM,cluster_entry_loose,73456,10,-0.0001340463126076,88169046.78211087,7910045092.914774,-151332.3024623091,5.718687820010781e+20,-2.6462766848850967e-16,-14.294208755780732,0.3631153343498148,0
CP_REPO_LRPM,cluster_entry_strict,73265,10,-0.0003419019273292,91073546.48613888,7828149418.162112,-153104.8703882695,5.72835511619578e+20,-2.6727545217194387e-16,-14.308952246814972,0.3632293728246775,0
CP_REPO_LRPM,cluster_exit_loose,73452,10,0.0055166585928384,-6835.690442343393,609674.4255390171,13.236643039777272,2588559256082.9253,5.113517493822916e-12,-13.22980019925994,0.340848445243152,0
CP_REPO_LRPM,cluster_exit_strict,73331,10,0.0055147582782956,-6846.969690355104,610226.0402236987,13.258484195575168,2592830514759.1475,5.113517493759815e-12,-13.23863831388877,0.3410153959444164,0
CP_REPO_LRPM,inflection_points,144879,10,0.0017093715854354,45936231.9706367,5443669677.227904,-76334.90768988768,2.8970500679893248e+20,-2.6349184825399767e-16,-13.683480177991711,0.3606871941413179,0
CP_REPO_LRPM,high_within_block_dispersion,68967,10,0.0049270384775482,2795260.878323045,299633837.6945172,-635.320956718295,7.365811798654707e+17,-8.625267303657285e-16,-11.20884482172711,0.3138167529398118,0
CP_REPO_LRPM,recent_spike_position,125350,10,0.0009692414376096,53844510.70799992,6500070986.20048,-91397.76532488062,3.360365304355571e+20,-2.719875877971198e-16,-10.770435046083294,0.3299800558436378,0
CP_REPO_LRPM,older_spike_position,108865,10,0.0063579186168327,-999583.6518113586,106197798.66627204,1141.0649548103122,1.1440728559137104e+17,9.973708832546368e-15,-12.438472675852552,0.3459789647728838,0
CP_REPO_LRPM,same_average_different_path,7396,10,0.0132845370910802,-3296.2942940851926,137580.1843135863,3.9197281970836793,80361648774.13673,4.877610473250007e-11,-10.17251174630211,0.3173336938885884,0
CP_REPO_LRPM,recent_ramp_high_dispersion,24273,10,0.0014216842393419,8605147.454148449,429827309.2168461,-8264.095894263299,1.9537414405653263e+18,-4.2298820727639545e-15,-12.813399818521816,0.3288839451242121,0
CP_REPO_LRPM,entry_with_recent_spike,43746,10,-0.0035716008691509,148307608.6428588,10169773273.516308,-253917.1234689288,9.60249738749884e+20,-2.644282140597036e-16,-13.790438476367092,0.3719654368399396,0
CP_REPO_LRPM,entry_without_recent_spike,29710,10,0.0005730972230748,-380987.7907695725,23145927.48369397,-282.97295185517754,3641175320134526.5,-7.771472861809987e-14,-15.035977003617464,0.3500841467519354,0
CP_REPO_LRPM,same_average_recent_front_loaded,14331,10,-0.0063494663980501,-718702.6616183601,26687566.09953331,-733.4846971971405,7431755631616824.0,-9.869601929276117e-14,-12.78978323828862,0.3575465773498011,0
CP_REPO_LRPM,same_average_back_loaded,15556,10,-0.0013086939945003,-1567.2159839836925,69317.12533499983,1.8636306785251435,38207428281.98787,4.877665842282599e-11,-9.694823465247753,0.313769606582669,0
