asset,model_name,check,value,threshold,passed
HYG,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,4.996003610813204e-16,1e-12,True
HYG,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
HYG,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
HYG,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
HYG,CONTIGUOUS_CAST_D,fast_scalar_equivalence,2.203098814490545e-16,1e-12,True
HYG,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
HYG,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
HYG,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
HYG,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
HYG,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
HYG,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
HYG,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
HYG,PM_CAST_D,timestamp_unique,0.0,0.0,True
HYG,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
HYG,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
HYG,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
QQQ,PM_CAST_D,finite_predictions,1.0,1.0,True
QQQ,PM_CAST_D,cp_quotient_annihilation,2.2876665839444144e-16,1e-10,True
QQQ,PM_CAST_D,weight_sum,7.771561172376097e-16,1e-12,True
QQQ,PM_CAST_D,fast_scalar_equivalence,2.498001805406602e-16,1e-12,True
QQQ,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
QQQ,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,1.214306433183765e-16,1e-10,True
QQQ,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
QQQ,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,2.1857515797307772e-16,1e-12,True
QQQ,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
QQQ,CONTIGUOUS_CAST_D,cp_quotient_annihilation,8.555495334505978e-19,1e-10,True
QQQ,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
QQQ,CONTIGUOUS_CAST_D,fast_scalar_equivalence,2.224782857940255e-16,1e-12,True
QQQ,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
QQQ,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
QQQ,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
QQQ,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
QQQ,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
QQQ,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
QQQ,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
QQQ,PM_CAST_D,timestamp_unique,0.0,0.0,True
QQQ,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,2.8160488472309056e-15,1e-10,True
QQQ,CONTIGUOUS_CAST_D,singular_spectrum_match,5.937164264772714e-17,1e-10,True
QQQ,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
SPY,PM_CAST_D,finite_predictions,1.0,1.0,True
SPY,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
SPY,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
SPY,PM_CAST_D,fast_scalar_equivalence,3.3306690738754696e-16,1e-12,True
SPY,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
SPY,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
SPY,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
SPY,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,7.2164496600635185e-16,1e-12,True
SPY,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
SPY,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
SPY,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
SPY,CONTIGUOUS_CAST_D,fast_scalar_equivalence,4.85722573273506e-16,1e-12,True
SPY,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
SPY,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
SPY,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
SPY,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
SPY,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
SPY,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
SPY,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
SPY,PM_CAST_D,timestamp_unique,0.0,0.0,True
SPY,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
SPY,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
SPY,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
TLT,PM_CAST_D,finite_predictions,1.0,1.0,True
TLT,PM_CAST_D,cp_quotient_annihilation,2.2876665839444144e-16,1e-10,True
TLT,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
TLT,PM_CAST_D,fast_scalar_equivalence,6.661338147750939e-16,1e-12,True
TLT,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
TLT,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,1.214306433183765e-16,1e-10,True
