feature_name,feature_family,source_model,n_lags,zero_block_sum_pass,max_abs_block_sum,global_weight_sum,global_level_sum_pass,block_sums_json,weights_json,asset,run_type,seed,prime_mode,laplacian_eigenvalue,diffusion_tau,model_role,component,pm_low_modes
PMQDK_MODE_10_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.4650359650564186,3.4416913763379853e-15,True,"{""B1"": 0.13459118284400556, ""B2"": 1.4650359650564186, ""B3"": -1.444213704513, ""B4"": -0.15541344338742158}","[1.010942187379439e-15, 0.2089189399576153, -0.07432775711361071, -0.24492116145797138, 0.11032997861396474, 0.20689520290435948, 0.5700471316219575, 0.8226848133741084, 0.39046966248919185, -0.5069164890104486, -0.944484253638086, -0.9748300906506018, -0.05795824184095846, 0.6495057081379033, 0.9023275890884519, 0.49772484303197856, -0.3412141077535371, -0.6903988144195417, -0.7950542091691237, -0.5057410786919665, 0.23986420770174896, 0.537078126824568]",AAPL,smoke,42,"[0, 2, 1]",4.381966011250106,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_10_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,1.7522081351090533,1.942890293094024e-15,True,"{""B1"": 0.9227909928602005, ""B2"": -1.7522081351090533, ""B3"": 0.1477570289792174, ""B4"": 0.681660113269638}","[1.1556395321723757e-15, 0.613085470523666, 0.3097055223365334, -0.2215224193743156, -0.7012685734858829, -0.6608498518887022, -0.3687455224356028, 0.20017823207545007, 0.9353903813685167, 1.0492186573039464, 0.3707932007129965, -0.6243567277966968, -0.9173295925043914, -0.6659588901051541, 0.2555781739119474, 0.9129699871997099, 0.786698818008935, 0.4074458380924069, -0.04790907188904665, -0.6035282577300095, -0.6229133360240047, -0.40668203830030053]",AAPL,smoke,42,"[0, 2, 1]",4.381966011250106,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_11_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.5678582047646432,-2.525757381022231e-15,True,"{""B1"": 0.04430868927011322, ""B2"": 0.2283888215415712, ""B3"": -0.5678582047646432, ""B4"": 0.2951606939529562}","[-1.4655102530349636e-15, 0.8241357083998907, -0.779827019129776, 0.6613997976588475, -0.7057084869289626, 0.5801157283519234, -0.6012509031055682, 0.2938326855653311, -0.019480940663446997, -0.0736544902476528, 0.15223319484927875, -0.4936659626400291, 0.6454230213964404, -0.7787130274592334, 0.8646731328077976, -0.7399626723067287, 0.2995300812048764, -0.15942868783199532, 0.13679417046383283, -0.08531015563118191, 0.0076137491055260145, -0.028748923859170612]",AAPL,smoke,42,"[0, 2, 4]",4.381966011250107,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_11_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.6998247381830602,-3.3306690738754696e-16,True,"{""B1"": 0.04221070355671014, ""B2"": 0.6998247381830602, ""B3"": -0.4574814476639978, ""B4"": -0.2845539940757728}","[-4.062580966035482e-16, 0.30428901825165766, -0.26207831469494713, 0.3199247963981673, -0.3621354999548774, 0.3668229722680375, -0.4952288092534545, 0.8704412787251874, -0.9050823967839516, 0.8121217269077634, -0.6184168926741782, 0.36623570808041167, 0.05527957729689343, -0.16761917049093641, 0.3137134996341779, -0.5324371524172671, 0.7371409927302113, -0.6636425413271342, 0.752776770876721, -0.7636997265870648, 0.7840310728234081, -0.9124369098088251]",AAPL,smoke,42,"[0, 2, 4]",4.381966011250107,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_12_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.9673019087898193,3.3306690738754696e-16,True,"{""B1"": 0.6279630406404544, ""B2"": -0.3135404162825625, ""B3"": 0.6528792844319277, ""B4"": -0.9673019087898193}","[-5.885563934582605e-16, -0.32826084779102793, 0.956223888431483, 0.17534617691828777, -0.8033092175587426, 0.5316464072662499, 0.49692894515551284, -0.7141527280638704, 0.00517607448850626, 0.5657757306601019, -0.3512618885238928, -0.21396291147845992, 0.23441034813318037, 0.4127419311524919, -0.6890112812461744, -0.06679384978154256, 0.8576979826402271, -0.4764815085007923, -0.5932641825592863, 0.926544768144816, -0.11359066896081449, -0.8124031685262524]",AAPL,smoke,42,"[1, 0, 1]",5.381966011250105,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_12_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,1.0963047522357203,2.275957200481571e-15,True,"{""B1"": -0.8915483339261591, ""B2"": 1.0963047522357203, ""B3"": -0.3245064110937135, ""B4"": 0.11974999278415455}","[1.5386378545400092e-15, -0.5988407210546045, -0.2927076128715561, 1.1037883934076693, -0.2122400594815075, -0.6393403600132486, 0.7516494208649059, 0.09244735745790107, -0.7437728601939352, 0.2658886541781615, 0.36794548043401637, -0.16334815128944744, -0.46994892014056017, 0.4187293859180514, 0.2232525102836496, -0.6743124189510973, 0.208859661706443, 0.670209175554213, -0.7787449191317841, -0.27690110498030157, 0.9457072985303285, -0.19832021022729646]",AAPL,smoke,42,"[1, 0, 1]",5.381966011250105,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_13_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,0.9673019087898196,7.771561172376096e-16,True,"{""B1"": 0.6279630406404539, ""B2"": -0.3135404162825611, ""B3"": 0.6528792844319276, ""B4"": -0.9673019087898196}","[-5.885563934582597e-16, -0.32826084779102843, 0.956223888431483, 0.17534617691828866, -0.8033092175587426, 0.5316464072662497, 0.4969289451555136, -0.7141527280638704, 0.005176074488505548, 0.5657757306601019, -0.3512618885238927, -0.21396291147845986, 0.23441034813318018, 0.4127419311524925, -0.6890112812461743, -0.0667938497815429, 0.8576979826402273, -0.476481508500792, -0.593264182559287, 0.9265447681448159, -0.113590668960814, -0.8124031685262526]",AAPL,smoke,42,"[1, 0, 4]",5.381966011250105,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_13_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,1.0963047522357197,-2.0816681711721685e-15,True,"{""B1"": 0.8915483339261592, ""B2"": -1.0963047522357197, ""B3"": 0.32450641109371337, ""B4"": -0.11974999278415477}","[-1.5386378545400092e-15, 0.5988407210546043, 0.29270761287155644, -1.103788393407669, 0.21224005948150723, 0.6393403600132489, -0.7516494208649055, -0.09244735745790125, 0.7437728601939348, -0.2658886541781614, -0.36794548043401637, 0.16334815128944732, 0.46994892014055994, -0.4187293859180511, -0.22325251028364965, 0.6743124189510974, -0.20885966170644255, -0.670209175554213, 0.7787449191317837, 0.27690110498030174, -0.9457072985303285, 0.1983202102272961]",AAPL,smoke,42,"[1, 0, 4]",5.381966011250105,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_14_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.1321815540347577,-4.996003610813204e-16,True,"{""B1"": -0.3132569428682032, ""B2"": 0.88090277287844, ""B3"": -1.1321815540347577, ""B4"": 0.5645357240245201}","[-7.378859191366572e-17, -0.5833389498511823, 0.2700820069829792, 0.47691860498992494, -0.1636616621217216, -0.4893210474632946, 0.4363921411366772, 0.620574736336854, -0.8025308604271393, -0.557757966728468, 1.086766870148511, 0.34705757922862657, -1.0987047173159656, -0.10701245894032224, 0.9471153239587576, -0.11699484640915109, -0.6276328404635704, 0.208047973996133, 0.43262471437753636, -0.22569569510856782, -0.4804509762760656, 0.427522069949448]",AAPL,smoke,42,"[0, 1, 2]",6.618033988749895,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_14_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.6715468684401628,3.7192471324942744e-15,True,"{""B1"": -0.6715468684401628, ""B2"": 0.6292156408109251, ""B3"": -0.26948352189239366, ""B4"": 0.311814749521635}","[1.5796434485229427e-15, -0.14248872919165825, -0.5290581392485061, 0.2131654865077876, 0.4583813819323774, -0.30436624229295917, -0.42381541691783214, 0.6858504315815513, 0.5516906207792142, -0.901777861944255, -0.3420793912629661, 1.0978851472843, 0.3698005989206967, -1.0450026356693836, -0.017450149915263023, 0.918553978908968, -0.07550768731706216, -0.5265928912537422, 0.2801465283823838, 0.46084662992714165, -0.272108345353043, -0.4560733138577481]",AAPL,smoke,42,"[0, 1, 2]",6.618033988749895,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_15_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,2.692825475003987,2.6645352591003757e-15,True,"{""B1"": 0.5598439072559809, ""B2"": -2.692825475003987, ""B3"": 0.834413950254947, ""B4"": 1.2985676174930614}","[1.373301355112108e-15, 0.450157267138869, 0.10968664011711052, -0.09664806899176771, -0.4631958382642108, -0.512771604650642, -0.6781153809029484, -0.9420945821944181, -0.6523934756264015, -0.19355318157360926, 0.005184429898438465, 0.339532572347568, 0.6054236210234698, 0.7302199841854815, 1.0026471771653065, 1.02127280515898, 0.5656268965633249, 0.22698432105383684, 0.018821560432688476, -0.34589815732748436, -0.5136856304067772, -0.6772013551468132]",AAPL,smoke,42,"[0, 1, 3]",6.618033988749895,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_15_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,4.03597651408381,1.3877787807814457e-16,True,"{""B1"": -0.08264107021110742, ""B2"": 0.4329298301541735, ""B3"": -4.03597651408381, ""B4"": 3.6856877541407442}","[7.875862878114384e-16, -0.10611360460147744, 0.023472534390369223, 0.04562906457772753, 0.03701200563338204, 0.3273970892876658, 0.1682258596786202, -0.14533418902322207, -0.544373623193805, -0.7641976023859242, -0.8928928122060704, -0.878155370295807, -0.6249255848846437, -0.33143152111755986, -0.03314111400797427, 0.20748247861634947, 0.6784334105544322, 0.7467872395175005, 0.830176079733637, 0.7603267107605135, 0.358013244302055, 0.13760970466423103]",AAPL,smoke,42,"[0, 1, 3]",6.618033988749895,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_16_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,2.6928254750039873,2.1094237467877974e-15,True,"{""B1"": 0.5598439072559805, ""B2"": -2.6928254750039873, ""B3"": 0.834413950254944, ""B4"": 1.2985676174930647}","[1.3733013551121088e-15, 0.4501572671388686, 0.1096866401171105, -0.09664806899176742, -0.46319583826421074, -0.512771604650642, -0.6781153809029487, -0.9420945821944184, -0.652393475626402, -0.19355318157360996, 0.00518442989843832, 0.3395325723475677, 0.6054236210234691, 0.730219984185481, 1.0026471771653063, 1.0212728051589801, 0.5656268965633253, 0.22698432105383765, 0.018821560432689392, -0.3458981573274835, -0.5136856304067772, -0.6772013551468131]",AAPL,smoke,42,"[0, 2, 2]",6.618033988749896,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_16_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,4.035976514083812,-3.0531133177191805e-16,True,"{""B1"": 0.08264107021110804, ""B2"": -0.43292983015417585, ""B3"": 4.035976514083812, ""B4"": -3.6856877541407442}","[-7.875862878114382e-16, 0.10611360460147781, -0.02347253439036898, -0.04562906457772778, -0.037012005633382375, -0.3273970892876659, -0.16822585967862067, 0.14533418902322093, 0.5443736231938046, 0.7641976023859245, 0.8928928122060704, 0.8781553702958068, 0.6249255848846442, 0.3314315211175608, 0.03314111400797477, -0.20748247861634903, -0.6784334105544317, -0.7467872395175003, -0.8301760797336373, -0.7603267107605136, -0.35801324430205517, -0.13760970466423159]",AAPL,smoke,42,"[0, 2, 2]",6.618033988749896,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_17_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.1321815540347584,3.3306690738754696e-16,True,"{""B1"": -0.3132569428682035, ""B2"": 0.8809027728784407, ""B3"": -1.1321815540347584, ""B4"": 0.5645357240245215}","[-7.378859191366494e-17, -0.5833389498511821, 0.2700820069829787, 0.47691860498992505, -0.16366166212172117, -0.4893210474632943, 0.4363921411366767, 0.6205747363368544, -0.8025308604271392, -0.557757966728469, 1.0867668701485107, 0.34705757922862734, -1.098704717315965, -0.10701245894032349, 0.9471153239587573, -0.11699484640915067, -0.6276328404635703, 0.20804797399613298, 0.4326247143775369, -0.22569569510856688, -0.4804509762760656, 0.42752206994944775]",AAPL,smoke,42,"[0, 2, 3]",6.618033988749896,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_17_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.6715468684401621,-4.052314039881821e-15,True,"{""B1"": 0.6715468684401621, ""B2"": -0.6292156408109251, ""B3"": 0.26948352189239255, ""B4"": -0.3118147495216337}","[-1.5796434485229427e-15, 0.1424887291916576, 0.5290581392485061, -0.21316548650778705, -0.4583813819323779, 0.3043662422929589, 0.42381541691783214, -0.6858504315815512, -0.5516906207792155, 0.9017778619442547, 0.34207939126296744, -1.0978851472842996, -0.3698005989206976, 1.0450026356693831, 0.01745014991526353, -0.9185539789089687, 0.07550768731706184, 0.5265928912537428, -0.28014652838238263, -0.4608466299271414, 0.27210834535304274, 0.45607331385774835]",AAPL,smoke,42,"[0, 2, 3]",6.618033988749896,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_18_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.5308338278436233,2.55351295663786e-15,True,"{""B1"": -0.9911854406868252, ""B2"": 1.5308338278436233, ""B3"": 0.44186215369400295, ""B4"": -0.981510540850799}","[6.705802470842326e-16, -0.3947573733463416, -0.5964280673404843, 0.10801551757777939, 0.8831699231090455, 0.9089577337625478, 0.17581134988528932, -0.5451206964910383, -0.5365903319406072, -0.15794586941174513, 0.32976922916130014, 0.7140827180266113, 0.3016386978450989, -0.20909228998665494, -0.5263610478256251, -0.43515589225498397, 0.13489421342536373, 0.8399100659864208, 0.6376671043494825, -0.1988630058716728, -0.803571070668864, -0.6300309079909203]",AAPL,smoke,42,"[1, 1, 0]",7.0,0.05,PM quotient harmonic basis,real,
PMQDK_MODE_18_IMAG,PM_QDK_HARMONIC,PM_QDK,22,False,0.844200107205926,-1.1102230246251565e-16,True,"{""B1"": 0.844200107205926, ""B2"": 0.42374688550858464, ""B3"": -0.7191544569928592, ""B4"": -0.5487925357216515}","[1.4738497777482217e-15, 0.8924693182327674, -0.04826921102684285, -0.47474188727576594, -0.36945821993015915, 0.37899848752134735, 0.7992245599903267, 0.08972394520283566, -0.3160781512651813, -0.4420323983916937, -0.5442495511544192, -0.062011739342719585, 0.40989078257852596, 0.23532660058262853, 0.1300429332370223, -0.20341213399782246, -0.9852597780184862, -0.4513455167545201, 0.5554934379583187, 0.6814476850848321, 0.3686631976308935, -0.6444223608618893]",AAPL,smoke,42,"[1, 1, 0]",7.0,0.05,PM quotient harmonic basis,imag,
PMQDK_MODE_19_REAL,PM_QDK_HARMONIC,PM_QDK,22,False,1.5308338278436242,2.886579864025407e-15,True,"{""B1"": -0.9911854406868232, ""B2"": 1.5308338278436242, ""B3"": 0.44186215369400195, ""B4"": -0.9815105408507997}","[6.705802470842359e-16, -0.3947573733463399, -0.5964280673404839, 0.10801551757777854, 0.8831699231090449, 0.9089577337625482, 0.1758113498852906, -0.5451206964910381, -0.5365903319406076, -0.15794586941174585, 0.32976922916129914, 0.714082718026611, 0.30163869784509956, -0.20909228998665444, -0.5263610478256248, -0.4351558922549841, 0.134894213425362, 0.8399100659864199, 0.6376671043494833, -0.19886300587167155, -0.8035710706688631, -0.6300309079909213]",AAPL,smoke,42,"[1, 2, 0]",7.000000000000001,0.05,PM quotient harmonic basis,real,
